node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Landing Gear Project,447.375,442.9,451.85,2018-07-17 08:00:00,2019-10-07 17:00:00,,11562500
31,1.1,Feasibilty Study,62.375,61.75,63.0,2018-07-17 08:00:00,2018-09-17 17:00:00,,1805000
1,1.1.1,Feasiblity Study,62.375,49.9,74.85,2018-07-17 08:00:00,2018-09-17 17:00:00,Consultant,1805000
26,1.2,Market Research,41.375,40.96,41.79,2018-09-18 08:00:00,2018-10-29 17:00:00,,2057500
3,1.2.1,Specifying the size of Single and Twin engined light aircrafts replacement in the market,13.375,10.7,16.05,2018-09-18 08:00:00,2018-10-01 17:00:00,Consultant;Engineers,532500
4,1.2.2,Calculation of the potential annual demand volumes for landing gear struts according to each of the different retail prices,20.375,16.3,24.45,2018-10-02 08:00:00,2018-10-22 17:00:00,Consultant;Engineers,792500
5,1.2.3,"Calculation of the annual sales volumes actually achievable, taking into account the maximum capacity of the factory set by the directors",20.375,16.3,24.45,2018-10-02 08:00:00,2018-10-22 17:00:00,Engineers,187500
6,1.2.4,Calculation of the total annual trade sales revenues and fixed/variable/total costs for each retail,6.375,5.1,7.65,2018-10-23 08:00:00,2018-10-29 17:00:00,Consultant;Engineers,272500
7,1.2.5,Calculation of the-trade price at which the company should sell at to generate the maximum profit,6.375,5.1,7.65,2018-10-23 08:00:00,2018-10-29 17:00:00,Consultant;Engineers,272500
27,1.3,"Business Plan, Financial Analysis, and Team Selection",69.375,68.68,70.07,2018-10-30 08:00:00,2019-01-07 17:00:00,,2615000
9,1.3.1,Preparation of Business Plan,41.375,33.1,49.65,2018-10-30 08:00:00,2018-12-10 17:00:00,Consultant,1205000
10,1.3.2,Financial Analysis,20.375,16.3,24.45,2018-12-18 08:00:00,2019-01-07 17:00:00,Consultant,605000
11,1.3.3,Team Selection (Recruitment of Management Team and Staff),27.375,21.9,32.85,2018-12-11 08:00:00,2019-01-07 17:00:00,Consultant,805000
28,1.4,Process Analysis,90.375,89.47,91.28,2019-01-08 08:00:00,2019-04-08 17:00:00,,2159500
13,1.4.1,Preparation of  Bill of Materials (BOM) file,62.375,49.9,74.85,2019-01-08 08:00:00,2019-03-11 17:00:00,Engineers;Workers,917500
14,1.4.2,Calculation of Machine Requirements,20.375,16.3,24.45,2019-03-19 08:00:00,2019-04-08 17:00:00,Engineers;Workers[0.40 #1],239500
15,1.4.3,Calculation of Labour Requirements,13.375,10.7,16.05,2019-03-26 08:00:00,2019-04-08 17:00:00,Engineers;Workers[0.40 #1],163500
16,1.4.4,Calculation of Factory Capacity,27.375,21.9,32.85,2019-03-12 08:00:00,2019-04-08 17:00:00,Workers[0.20 #1];Consultant,839000
29,1.5,Productivity Analysis,62.375,61.75,63.0,2019-04-09 08:00:00,2019-06-10 17:00:00,,850000
18,1.5.1,Creation the Line of Balance for the Landing Gear System and its Level 1 Sub-Assemblies,27.375,21.9,32.85,2019-04-09 08:00:00,2019-05-06 17:00:00,Workers[0.20 #1];The Graduates,439000
19,1.5.2,Defining implication of this MPS on the capacity of the factory,13.375,10.7,16.05,2019-05-07 08:00:00,2019-05-20 17:00:00,Workers[0.60 #1],54000
20,1.5.3,Assisting of line of balance in solution providing for problems,20.375,16.3,24.45,2019-05-21 08:00:00,2019-06-10 17:00:00,Workers[0.40 #1];The Graduates,357000
30,1.6,Start to Production,118.375,117.19,119.56,2019-06-11 08:00:00,2019-10-07 17:00:00,,2075500
22,1.6.1,Identifying Production Site,34.375,27.5,41.25,2019-06-11 08:00:00,2019-07-15 17:00:00,Consultant;Workers[0.40 #1],1089000
23,1.6.2,Supplier Selection,13.375,10.7,16.05,2019-07-02 08:00:00,2019-07-15 17:00:00,Engineers;Workers[0.60 #1],181500
24,1.6.3,Ordering Machines and Raw Materials,62.375,49.9,74.85,2019-07-16 08:00:00,2019-09-16 17:00:00,Workers,370000
25,1.6.4,Manufacturing Trials,20.375,16.3,24.45,2019-09-17 08:00:00,2019-10-07 17:00:00,Workers;The Graduates,435000
33,1.7,Finish,0.0,0.0,0.0,2019-10-07 17:00:00,2019-10-07 17:00:00,,0
