node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
6,1.1.1.1,CARTEL DE IDENTIFICACION DE LA OBRA DE 3.60x2.40M,1.0,0.5,1.5,2020-01-12 00:00:00,nan,"carpenter [1,00 #8]",
7,1.1.1.2,ALQUILER DE ALMACEN Y OFICINA,1.0,0.5,2.0,2020-02-12 00:00:00,nan,"carpenter [1,00 #8]",
9,1.1.2.1,LIMPIEZA DE TERRENO MANUAL,1.0,0.5,1.5,2020-03-12 00:00:00,nan,"carpenter [1,00 #8]",
10,1.1.2.2,MOVILIZACION Y DESMOVILIZACION DE EQUIPOS Y HERRAMIENTAS,1.0,0.5,1.5,2020-04-12 00:00:00,nan,"carpenter [1,00 #8]",
12,1.1.3.1,EQUIPO DE PROTESSION COLECTIVA,1.0,0.5,1.5,2020-05-12 00:00:00,nan,"carpenter [1,00 #8]",
13,1.1.3.2,EQUIPO DE PROTESSION INDIVIDUAL,1.0,0.5,1.5,2020-06-12 00:00:00,nan,"carpenter [1,00 #8]",
14,1.1.3.3,SEÑALIZACION TEMPORAL DE SEGURIDAD DE OBRA,1.0,0.5,1.5,2020-07-12 00:00:00,nan,"carpenter [1,00 #8]",
16,1.1.4.1,SEÑALIZACION PARA PREVENCION DEL COVID 19,1.0,0.5,1.5,2020-08-12 00:00:00,nan,"carpenter [1,00 #8]",
17,1.1.4.2,EQUIPO DE DETESSION (TERMOMETRO DIGITAL),1.0,0.5,1.5,2020-09-12 00:00:00,nan,"carpenter [1,00 #8]",
18,1.1.4.3,MASCARILLA COMUNITARIA,1.0,0.5,1.5,2020-10-12 00:00:00,nan,mason,
19,1.1.4.4,INSTALACION DE LAVADEROS,1.0,0.5,1.5,2020-11-12 00:00:00,nan,"carpenter [1,00 #8]",
20,1.1.4.5,INSUMOS PARA LAVADO DE MANOS,1.0,0.5,1.5,2020-12-12 00:00:00,nan,mason,
21,1.1.4.6,ELABORACION DEL PLAN DE SEGURIDAD Y SALUD EN EL TRABAJO INCLUIDO COVID -19,1.0,0.5,1.5,2020-12-13 00:00:00,nan,"steel worker [1,00 #8]",
22,1.1.4.7,IDENTIFICACION DE SINTOMATOLOGIA COVID - 19 AL INGRESO A LA OBRA,1.0,0.5,1.5,2020-12-14 00:00:00,nan,"carpenter [1,00 #8]",
26,1.2.1.1.1,DEMOLICIÓN DE ESTRUCTURA DE CONCRETO,6.0,4.0,8.0,2020-02-12 00:00:00,nan,"carpenter [1,00 #8]",
27,1.2.1.1.2,EXCAVACIÓN A MANO EN TERRENO NORMAL,6.0,2.0,10.0,2020-08-12 00:00:00,nan,"carpenter [1,00 #8]",
28,1.2.1.1.3,PERFILADO Y COMPACTADO DE FONDO,2.0,1.0,3.0,2020-12-14 00:00:00,nan,"steel worker [1,00 #8]",
29,1.2.1.1.4,ELIMINACION DE MATERIAL DE DEMOLICIONES,7.0,3.0,11.0,2020-12-16 00:00:00,nan,mason,
31,1.2.1.2.1,ENCOFRADO Y DESENCOFRADO NORMAL,6.0,2.0,10.0,2020-12-16 00:00:00,nan,"mason [2,00 #8]",
32,1.2.1.2.2,ACERO FY = 4200 KG/CM2 GRADO 60,2.0,1.0,3.0,2020-12-22 00:00:00,nan,"team subcontractor[1,00 #8]",
33,1.2.1.2.3,CONCRETO F'C=210 KG/CM2,1.0,0.5,1.5,2020-12-24 00:00:00,nan,"mason [2,00 #8]",
34,1.2.1.2.4,CURADO DE CONCRETO EN CANAL,1.0,0.5,1.5,2020-12-25 00:00:00,nan,"carpenter [1,00 #8]",
36,1.2.1.3.1,"JUNTA ASFALTICA E= 1"" @ 3.00 m",3.0,1.0,5.0,2020-12-26 00:00:00,nan,"steel worker [2,00 #8]",
39,1.2.2.1.1,DEMOLICIÓN DE ESTRUCTURA DE CONCRETO,2.0,1.0,3.0,2020-02-12 00:00:00,nan,"steel worker [2,00 #8]",
40,1.2.2.1.2,EXCAVACIÓN A MANO EN TERRENO NORMAL,1.0,0.5,1.5,2020-04-12 00:00:00,nan,"steel worker [2,00 #8]",
41,1.2.2.1.3,PERFILADO Y COMPACTADO DE FONDO,1.0,0.5,2.0,2020-05-12 00:00:00,nan,mason,
42,1.2.2.1.4,ELIMINACION DE MATERIAL DE DEMOLICIONES,1.0,0.5,2.0,2020-06-12 00:00:00,nan,mason,
44,1.2.2.2.1,ENCOFRADO Y DESENCOFRADO NORMAL,1.0,1.0,3.0,2020-06-12 00:00:00,nan,"steel worker [2,00 #8]",
45,1.2.2.2.2,CONCRETO F'C=210 KG/CM2,1.0,0.5,1.5,2020-08-12 00:00:00,nan,"carpenter [1,00 #8]",
46,1.2.2.2.3,CURADO DE CONCRETO EN CANAL,1.0,0.5,1.5,2020-09-12 00:00:00,nan,"carpenter [1,00 #8]",
48,1.2.2.3.1,"JUNTA ASFALTICA E= 1"" @ 3.00 m",1.0,0.5,3.0,2020-10-12 00:00:00,nan,"steel worker [1,00 #8]",
50,1.2.2.4.1,"REJILLA SUMIDERO PLATINA 1 1/4"" x 1/8"" @1"", MARCO ""L"" 1 1/2"" x 1 1/2"" x 1/8""",1.0,0.5,3.0,2020-11-12 00:00:00,nan,"carpenter [1,00 #8]",
