node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Apartment Building (1),317.375,314.2,320.55,2011-10-03 08:00:00,2012-08-15 17:00:00,,532410.287353515
1,1.1,Sondering,0.375,0.3,0.45,2011-10-03 08:00:00,2011-10-03 17:00:00,,620.0
2,1.2,Inrichting,0.375,0.3,0.45,2011-10-04 08:00:00,2011-10-04 17:00:00,,2265.48999023438
3,1.3,Bouwput + Kelders,20.375,16.3,24.45,2011-10-19 08:00:00,2011-11-08 17:00:00,,26416.9606933594
4,1.4,Bouw rioleringen,20.375,16.3,24.45,2011-11-09 08:00:00,2011-11-29 17:00:00,,31847.8000488281
5,1.5,Afbraakwerken,13.375,10.7,16.05,2011-10-05 08:00:00,2011-10-18 17:00:00,,8100.39978027344
6,1.6,Ruwbouw,97.375,77.9,116.85,2011-11-30 08:00:00,2012-03-06 17:00:00,,121519.047363281
7,1.7,Wachtgevel,20.375,16.3,24.45,2012-03-07 08:00:00,2012-03-27 17:00:00,,9790.34997558594
8,1.8,Dakisolatie,13.375,10.7,16.05,2012-03-28 08:00:00,2012-04-10 17:00:00,,5545.19000244141
9,1.9,Dakbedekking & Zinkwerk,41.375,33.1,49.65,2012-03-28 08:00:00,2012-05-08 17:00:00,,44145.9787597656
10,1.1,Buitenschrijnwerk,27.375,21.9,32.85,2012-03-07 08:00:00,2012-04-03 17:00:00,,71547.1787109375
11,1.11,Sanitaire technieken,34.375,27.5,41.25,2012-05-09 08:00:00,2012-06-12 17:00:00,,33402.4411621093
12,1.12,Electriciteitstechnieken,34.375,27.5,41.25,2012-05-09 08:00:00,2012-06-12 17:00:00,,29082.4298706054
13,1.13,Ventilatietechnieken,13.375,10.7,16.05,2012-05-09 08:00:00,2012-05-22 17:00:00,,6392.0
14,1.14,Trappen en Deuren,6.375,5.1,7.65,2012-07-25 08:00:00,2012-07-31 17:00:00,,9686.84020996094
15,1.15,Keukens,6.375,5.1,7.65,2012-07-25 08:00:00,2012-07-31 17:00:00,,4666.78991699219
16,1.16,Pleisterwerken,13.375,10.7,16.05,2012-07-11 08:00:00,2012-07-24 17:00:00,,16596.740234375
17,1.17,Buitenpleisterwerk,20.375,16.3,24.45,2012-04-04 08:00:00,2012-04-24 17:00:00,,34664.7506103515
18,1.18,Afwerking Ventilatie,6.375,5.1,7.65,2012-07-25 08:00:00,2012-07-31 17:00:00,,3196.0
19,1.19,Plaatsen Sanitaire Toestellen & Radiatoren,13.375,10.7,16.05,2012-07-25 08:00:00,2012-08-07 17:00:00,,11133.7497558594
20,1.2,Afwerking,13.375,10.7,16.05,2012-07-25 08:00:00,2012-08-07 17:00:00,,9693.73986816407
21,1.21,Chapewerken,13.375,10.7,16.05,2012-06-13 08:00:00,2012-06-26 17:00:00,,14216.0500488281
22,1.22,Vloeren,13.375,10.7,16.05,2012-06-27 08:00:00,2012-07-10 17:00:00,,21777.2102050781
23,1.23,Buitenaanleg,6.375,5.1,7.65,2011-11-30 08:00:00,2011-12-06 17:00:00,,6737.19000244141
24,1.24,Schilderwerken,6.375,5.1,7.65,2012-08-08 08:00:00,2012-08-14 17:00:00,,9072.52014160157
25,1.25,Opkuis,0.375,0.3,0.45,2012-08-15 08:00:00,2012-08-15 17:00:00,,293.440002441406
