node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
2,nan,offerte,60.0,48.0,72.0,2018-05-14 08:00:00,nan,,
3,nan,plan van aanpak,30.0,24.0,36.0,2018-05-14 08:00:00,nan,,
4,nan,planning,30.0,24.0,36.0,2018-05-14 08:00:00,nan,,
5,nan,documentenlijst,30.0,24.0,36.0,2018-05-14 08:00:00,nan,,
6,nan,opdrachtsomschrijving ISA,20.0,16.0,24.0,2018-05-28 08:00:00,nan,,
7,nan,contractafstemming,20.0,16.0,24.0,2018-08-06 08:00:00,nan,,
8,nan,opdracht van ProRail,20.0,16.0,24.0,2018-09-03 08:00:00,nan,,
9,nan,Contractering,5.0,4.0,6.0,2018-10-01 08:00:00,nan,,
10,nan,Opdrachtbevestiging 2 ProRail,5.0,4.0,6.0,2018-10-01 08:00:00,nan,,
11,nan,Opdracht aan Sweco,5.0,4.0,6.0,2018-10-01 08:00:00,nan,,
12,nan,Opdracht aan ISA,5.0,4.0,6.0,2018-10-01 08:00:00,nan,,
13,nan,Mobilisatie,5.0,4.0,6.0,2018-10-01 08:00:00,nan,,
15,nan,Kick Off voorbereiding,5.0,4.0,6.0,2018-10-01 08:00:00,nan,,
16,nan,Kick Off (incl. projectplannigssessie),1.0,0.8,1.2,2018-10-09 08:00:00,nan,,
17,nan,Regulier wekelijks overleg/samenwerk,105.0,84.0,126.0,2018-10-10 08:00:00,nan,,
18,nan,V&V plan,42.0,33.6,50.4,2018-10-08 08:00:00,nan,,
19,nan,Analyse V&V Matrix,2.0,1.6,2.4,2018-10-08 08:00:00,nan,,
20,nan,Check en update Plan,4.0,3.2,4.8,2018-10-10 08:00:00,nan,,
21,nan,Update evt met new saf req,1.0,0.8,1.2,2018-10-16 08:00:00,nan,,
22,nan,Interne Review+update,10.0,8.0,12.0,2018-10-17 08:00:00,nan,,
23,nan,ProRail Review,10.0,8.0,12.0,2018-10-31 08:00:00,nan,,
24,nan,Workshop bespreken matrix,3.0,2.4,3.6,2018-11-14 08:00:00,nan,,
25,nan,Verwerken reviewcomm,2.0,1.6,2.4,2018-11-19 08:00:00,nan,,
26,nan,Controle-review en acceptatie,10.0,8.0,12.0,2018-11-21 08:00:00,nan,,
27,nan,V&V matrix,45.0,36.0,54.0,2018-10-08 08:00:00,nan,,
28,nan,Review bestaande matrix,8.0,6.4,9.6,2018-10-08 08:00:00,nan,,
29,nan,Update matrix,10.0,8.0,12.0,2018-10-18 08:00:00,nan,,
30,nan,Interne Review+update,5.0,4.0,6.0,2018-11-01 08:00:00,nan,,
31,nan,ProRail Review,10.0,8.0,12.0,2018-11-08 08:00:00,nan,,
32,nan,Verwerken reviewcomm,2.0,1.6,2.4,2018-11-22 08:00:00,nan,,
33,nan,Controle-review,10.0,8.0,12.0,2018-11-26 08:00:00,nan,,
34,nan,Safety Plan + Systemdefinition,68.0,54.4,81.6,2018-10-08 08:00:00,nan,,
35,nan,Opgave inhoud,10.0,8.0,12.0,2018-10-08 08:00:00,nan,,
36,nan,Schrijven,10.0,8.0,12.0,2018-10-22 08:00:00,nan,,
37,nan,Interne review,5.0,4.0,6.0,2018-11-05 08:00:00,nan,,
38,nan,Update,2.0,1.6,2.4,2018-11-12 08:00:00,nan,,
39,nan,ProRail Review,10.0,8.0,12.0,2018-11-14 08:00:00,nan,,
40,nan,Verwerken reviewcomm,2.0,1.6,2.4,2018-11-28 08:00:00,nan,,
41,nan,Controle-review,10.0,8.0,12.0,2018-11-30 08:00:00,nan,,
42,nan,Review ISA,10.0,8.0,12.0,2018-12-14 08:00:00,nan,,
43,nan,Verwerken reviewcomm,5.0,4.0,6.0,2019-01-16 08:00:00,nan,,
44,nan,Check met PR,3.0,2.4,3.6,2019-01-23 08:00:00,nan,,
45,nan,Herissue naar ISA/AsBo,1.0,0.8,1.2,2019-01-28 08:00:00,nan,,
46,nan,Hazard Log,68.0,54.4,81.6,2018-10-08 08:00:00,nan,,
47,nan,Organiseren Hazid sessie,25.0,20.0,30.0,2018-10-08 08:00:00,nan,,
48,nan,Hazid Sessie,5.0,4.0,6.0,2018-11-12 08:00:00,nan,,
49,nan,Hazard Log Opstellen,5.0,4.0,6.0,2018-11-19 08:00:00,nan,,
50,nan,Mitigatie Sessie,5.0,4.0,6.0,2018-11-26 08:00:00,nan,,
51,nan,Identificeer evt nieuwe Safety Requirements,1.0,0.8,1.2,2018-12-03 08:00:00,nan,,
52,nan,Update V&V plan en Matrix met nw Saf Req,0.0,0.0,0.0,2018-12-03 17:00:00,nan,,
53,nan,Interne Review+update,5.0,4.0,6.0,2018-12-04 08:00:00,nan,,
54,nan,ProRail Review,10.0,8.0,12.0,2018-12-11 08:00:00,nan,,
55,nan,Verwerken reviewcomm,2.0,1.6,2.4,2019-01-11 08:00:00,nan,,
56,nan,Controle-review,10.0,8.0,12.0,2019-01-15 08:00:00,nan,,
57,nan,Configuratie management Plan,55.0,44.0,66.0,2018-10-08 08:00:00,nan,,
58,nan,Schrijven,25.0,20.0,30.0,2018-10-08 08:00:00,nan,,
59,nan,Interne Review+update,5.0,4.0,6.0,2018-11-12 08:00:00,nan,,
60,nan,ProRail Review,10.0,8.0,12.0,2018-11-19 08:00:00,nan,,
61,nan,Verwerken reviewcomm,5.0,4.0,6.0,2018-12-03 08:00:00,nan,,
62,nan,Controle-review,10.0,8.0,12.0,2018-12-10 08:00:00,nan,,
65,nan,Updatedocumentenlijst en planning,1.0,1.0,1.0,2018-10-10 08:00:00,nan,,
66,nan,OVS,53.0,42.4,63.6,2018-10-08 08:00:00,nan,,
67,nan,Review bestaande,5.0,4.0,6.0,2018-10-08 08:00:00,nan,,
68,nan,Update,20.0,16.0,24.0,2018-10-15 08:00:00,nan,,
69,nan,Interne Review+update,5.0,4.0,6.0,2018-11-12 08:00:00,nan,,
70,nan,ProRail Review,10.0,8.0,12.0,2018-11-19 08:00:00,nan,,
71,nan,Review workshop,1.0,0.8,1.2,2018-12-03 08:00:00,nan,,
72,nan,Verwerken reviewcomm,2.0,1.6,2.4,2018-12-04 08:00:00,nan,,
73,nan,Controle-review,10.0,8.0,12.0,2018-12-06 08:00:00,nan,,
74,nan,OVS onderbouwingsdocument,33.0,26.4,39.6,2018-10-08 08:00:00,nan,,
75,nan,Schrijven,5.0,4.0,6.0,2018-10-08 08:00:00,nan,,
76,nan,Interne Review+update,5.0,4.0,6.0,2018-10-15 08:00:00,nan,,
77,nan,ProRail Review,10.0,8.0,12.0,2018-10-22 08:00:00,nan,,
78,nan,Review workshop,1.0,0.8,1.2,2018-11-05 08:00:00,nan,,
79,nan,Verwerken reviewcomm,2.0,1.6,2.4,2018-11-06 08:00:00,nan,,
80,nan,Controle-review,10.0,8.0,12.0,2018-11-08 08:00:00,nan,,
81,nan,OVS mappingdocument,19.0,15.2,22.8,2018-12-04 08:00:00,nan,,
82,nan,Schrijven,15.0,12.0,18.0,2018-12-04 08:00:00,nan,,
83,nan,Interne review,2.0,1.6,2.4,2019-01-11 08:00:00,nan,,
84,nan,Release,2.0,1.6,2.4,2019-01-15 08:00:00,nan,,
85,nan,ISV,63.0,50.4,75.6,2018-10-08 08:00:00,nan,,
86,nan,Review bestaande,10.0,8.0,12.0,2018-10-08 08:00:00,nan,,
87,nan,Update,25.0,20.0,30.0,2018-10-22 08:00:00,nan,,
88,nan,Interne Review+update,5.0,4.0,6.0,2018-11-26 08:00:00,nan,,
89,nan,ProRail Review,10.0,8.0,12.0,2018-12-03 08:00:00,nan,,
90,nan,Review workshop,1.0,0.8,1.2,2018-12-17 08:00:00,nan,,
91,nan,Verwerken reviewcomm,2.0,1.6,2.4,2018-12-18 08:00:00,nan,,
92,nan,Controle-review,10.0,8.0,12.0,2019-01-08 08:00:00,nan,,
93,nan,BEA,43.0,34.4,51.6,2018-12-03 08:00:00,nan,,
