node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,IJzertoren Memorial Square,67.375,66.7,68.05,2013-10-14 08:00:00,2013-12-20 17:00:00,,214417.7109375
1,1.1,opbraak &amp;amp;amp; riolering,11.375,9.1,13.65,2013-10-14 08:00:00,2013-10-25 17:00:00,,49231.671875
2,1.2,grondwerken &amp;amp;amp; onderfundering,11.375,9.1,13.65,2013-10-28 08:00:00,2013-11-08 17:00:00,,29985.44921875
3,1.3,fundering,11.375,9.1,13.65,2013-11-04 08:00:00,2013-11-15 17:00:00,,16683.849609375
4,1.4,boordstenen,4.375,3.5,5.25,2013-11-18 08:00:00,2013-11-22 17:00:00,,1062.52001953125
5,1.5,verharding,4.375,3.5,5.25,2013-11-25 08:00:00,2013-11-29 17:00:00,,3441.13989257813
6,1.6,bekisting: voorbereding + beton gieten,11.375,9.1,13.65,2013-12-02 08:00:00,2013-12-13 17:00:00,,62763.08984375
7,1.7,"afwerking: straatmeubilair, signalisatie, ...",4.375,3.5,5.25,2013-12-16 08:00:00,2013-12-20 17:00:00,,17060.560546875
8,1.8,grondwerken &amp;amp;amp; onderfundering,4.375,3.5,5.25,2013-11-18 08:00:00,2013-11-22 17:00:00,,9680.599609375
9,1.9,fundering,4.375,3.5,5.25,2013-11-25 08:00:00,2013-11-29 17:00:00,,1675.76000976563
10,1.1,boordstenen,4.375,3.5,5.25,2013-12-02 08:00:00,2013-12-06 17:00:00,,3465.0
11,1.11,bekisting: voorbereding + beton gieten,4.375,3.5,5.25,2013-12-09 08:00:00,2013-12-13 17:00:00,,7624.9501953125
12,1.12,"afwerking: straatmeubilair, signalisatie, ...",4.375,3.5,5.25,2013-12-16 08:00:00,2013-12-20 17:00:00,,11743.1201171875
