node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Wiedauwkaai Fenders,211.375,209.26,213.49,2007-02-01 08:00:00,2007-08-31 17:00:00,,1069532.41540527
1,1.1,Contractuele uitvoeringstermijn,211.375,169.1,253.65,2007-02-01 08:00:00,2007-08-31 17:00:00,,19349.69921875
2,1.2,Totaal Project,211.375,209.26,213.49,2007-02-01 08:00:00,2007-08-31 17:00:00,,1050182.71618652
3,1.2.1,Tijdelijke scheepvaartseinen plaatsen,2.375,1.9,2.85,2007-02-19 08:00:00,2007-02-21 17:00:00,,2378.39990234375
4,1.2.2,Bestaande scheepvaartseinen wegnemen,2.375,1.9,2.85,2007-02-21 08:00:00,2007-02-23 17:00:00,,1500.84997558594
5,1.2.3,"Staketsel, dukdalven, scheepvaartseinen",210.375,208.27,212.48,2007-02-01 08:00:00,2007-08-30 17:00:00,,721026.849609375
6,1.2.3.1,Stalen onderbouw en azobé: prefab,139.375,111.5,167.25,2007-02-01 08:00:00,2007-06-20 17:00:00,,97914.5803222658
7,1.2.3.2,Afbraak stak afw kant TL & DD IV,4.375,3.5,5.25,2007-02-26 08:00:00,2007-03-02 17:00:00,,7273.44970703124
8,1.2.3.3,"Heien buispalen stak afw kant TL, DD IV & SS A1 (9 st)",4.375,3.5,5.25,2007-03-05 08:00:00,2007-03-09 17:00:00,,34466.0009765625
9,1.2.3.4,Montage stak afw kant TL & DD IV,5.375,4.3,6.45,2007-03-22 08:00:00,2007-03-27 17:00:00,,35811.5195312499
10,1.2.3.5,Afbraak stak afw kant WK & DD V,6.375,5.1,7.65,2007-03-28 08:00:00,2007-04-03 17:00:00,,7157.19970703124
11,1.2.3.6,"Heien buispalen stak afw kant WK, DD V & SS A4 (10 st)",6.375,5.1,7.65,2007-04-04 08:00:00,2007-04-10 17:00:00,,38295.6005859375
12,1.2.3.7,"Montage stak afw kant WK met verbindingen, & DD V",7.375,5.9,8.85,2007-04-18 08:00:00,2007-04-25 17:00:00,,53717.2792968749
13,1.2.3.8,Heien buispalen stak afw: kop (7 st),5.375,4.3,6.45,2007-04-26 08:00:00,2007-05-01 17:00:00,,26806.720703125
14,1.2.3.9,Montage stak afw kop,6.375,5.1,7.65,2007-05-04 08:00:00,2007-05-10 17:00:00,,44764.3994140624
15,1.2.3.10,"Afbraak stak opw kant WK, DD II + III & helft gasleiding",11.375,9.1,13.65,2007-05-11 08:00:00,2007-05-22 17:00:00,,11451.51953125
16,1.2.3.11,"Heien buispalen stak opw kant WK, DD II & SS O4 (9 st)",6.375,5.1,7.65,2007-05-25 08:00:00,2007-05-31 17:00:00,,34466.0009765625
17,1.2.3.12,Montage stak opw kant WK & DD II,7.375,5.9,8.85,2007-06-04 08:00:00,2007-06-11 17:00:00,,53717.2792968749
18,1.2.3.13,"Afbraak stak opw kant TL, DD I & helft gasleiding",9.375,7.5,11.25,2007-06-12 08:00:00,2007-06-21 17:00:00,,11567.76953125
19,1.2.3.14,"Heien buispalen stak opw kant TL, DD I & SS O1(9 st)",6.375,5.1,7.65,2007-06-22 08:00:00,2007-06-28 17:00:00,,34466.0009765625
20,1.2.3.15,"Montage stak opw kant TL met verbindingen, & DD I",11.375,9.1,13.65,2007-06-29 08:00:00,2007-07-10 17:00:00,,71623.0390624998
21,1.2.3.16,Heien buispalen stak opw: kop (7 st),5.375,4.3,6.45,2007-07-11 08:00:00,2007-07-16 17:00:00,,28772.9206542969
22,1.2.3.17,Montage stak opw kop,6.375,5.1,7.65,2007-08-07 08:00:00,2007-08-13 17:00:00,,44764.3994140624
23,1.2.3.18,Roosters,6.375,5.1,7.65,2007-08-14 08:00:00,2007-08-20 17:00:00,,31170.0
24,1.2.3.19,Scheepvaartseinen,5.375,4.3,6.45,2007-08-22 08:00:00,2007-08-27 17:00:00,,33154.609375
25,1.2.3.20,Kabels voedingen,2.375,1.9,2.85,2007-08-28 08:00:00,2007-08-30 17:00:00,,19666.560546875
26,1.2.4,Gestuurde boring,11.375,11.26,11.49,2007-03-12 08:00:00,2007-03-23 17:00:00,,54887.1091308594
27,1.2.4.1,Gestuurde boring,8.375,6.7,10.05,2007-03-12 08:00:00,2007-03-20 17:00:00,,46281.7392578125
28,1.2.4.2,Heien buispaal tbv boring,0.375,0.3,0.45,2007-03-21 08:00:00,2007-03-21 17:00:00,,3829.19995117187
29,1.2.4.3,"Trekontlastingen, borden",1.375,1.1,1.65,2007-03-22 08:00:00,2007-03-23 17:00:00,,4776.169921875
30,1.2.5,Kabelwerken,13.375,13.24,13.51,2007-03-22 08:00:00,2007-04-04 17:00:00,,24123.3999023438
31,1.2.5.1,Fase 4: kabels door ingebaggerde buizen,13.375,10.7,16.05,2007-03-22 08:00:00,2007-04-04 17:00:00,,24123.3999023438
32,1.2.6,Dukdalven,56.375,55.81,56.94,2007-06-29 08:00:00,2007-08-24 17:00:00,,114453.359008789
33,1.2.6.1,Stalen brugjes,21.375,17.1,25.65,2007-06-29 08:00:00,2007-07-20 17:00:00,,62441.9898681641
34,1.2.6.2,Scheepvaartseinen,4.375,3.5,5.25,2007-08-13 08:00:00,2007-08-17 17:00:00,,30008.439453125
35,1.2.6.3,Kabels voedingen,3.375,2.7,4.05,2007-08-21 08:00:00,2007-08-24 17:00:00,,22002.9296875
36,1.2.7,Stabilisatie landhoofd,50.375,49.87,50.88,2007-03-22 08:00:00,2007-05-11 17:00:00,,128036.428588867
37,1.2.7.1,Opzoeken leidingen in vaargeul,0.375,0.3,0.45,2007-03-22 08:00:00,2007-03-22 17:00:00,,1127.68994140625
38,1.2.7.2,Peiling 1,0.375,0.3,0.45,2007-03-23 08:00:00,2007-03-23 17:00:00,,1281.46997070313
39,1.2.7.3,Onderwater grondbanketten aanbrengen,3.375,2.7,4.05,2007-03-26 08:00:00,2007-03-29 17:00:00,,24908.16015625
40,1.2.7.4,Peiling 2,0.375,0.3,0.45,2007-03-30 08:00:00,2007-03-30 17:00:00,,1281.46997070313
41,1.2.7.5,Aanvoer boorinstallatie,1.375,1.1,1.65,2007-04-02 08:00:00,2007-04-03 17:00:00,,5125.85986328125
42,1.2.7.6,Groutinjecties,20.375,16.3,24.45,2007-04-04 08:00:00,2007-04-24 17:00:00,,87904.448852539
43,1.2.7.7,Buitendienststellingsweekend 1,0.0,0.0,0.0,2007-04-27 17:00:00,2007-04-27 17:00:00,,0.0
44,1.2.7.8,Buitendienststellingsweekend 2,0.0,0.0,0.0,2007-05-04 17:00:00,2007-05-04 17:00:00,,0.0
45,1.2.7.9,Buitendienststellingsweekend 3,0.0,0.0,0.0,2007-05-11 17:00:00,2007-05-11 17:00:00,,0.0
46,1.2.7.10,Peiling 3,0.375,0.3,0.45,2007-05-04 08:00:00,2007-05-04 17:00:00,,1281.46997070313
47,1.2.7.11,Afvoer boorinstallatie,1.375,1.1,1.65,2007-05-07 08:00:00,2007-05-08 17:00:00,,5125.85986328125
48,1.2.8,Opkuis werf,4.375,3.5,5.25,2007-08-27 08:00:00,2007-08-31 17:00:00,,3776.32006835938
