node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Tappan Zee Bridge,1802.45833333333,1784.43,1820.48,2013-01-01 07:00:00,2017-12-08 18:00:00,,4999958000
1,1.1,"Preparation, Mobilization, Temporary Roadworks",174.458333333333,139.57,209.35,2013-01-01 07:00:00,2013-06-24 18:00:00,Compressors[4.00 #20];Generators[16.00 #25],527800000
2,1.2,Consruction of Support Facilities,104.458333333333,83.57,125.35,2013-06-25 07:00:00,2013-10-07 18:00:00,Generators[5.00 #25];Dump Scows,105482500
3,1.3,Construction of Temporary Trestle Platforms,83.4583333333333,66.77,100.15,2013-06-25 07:00:00,2013-09-16 18:00:00,Barge Mounted 100 ton Crane[2.00 #8];Compressors[10.00 #20];Generators[15.00 #25];Rock Socket Drilling Rig[2.00 #4];Tug Boats[2.00 #18];Hopper Scows[12.00 #40];Dump Scows;Concrete Pumping Barges[4.00 #6],158506000
4,1.4,Dredging I,74.4583333333333,59.57,89.35,2014-08-04 07:00:00,2014-10-17 18:00:00,Tug Boats[4.00 #18];Dredges[2.00 #2];Dump Scows[4.00 #6],34822500
5,1.5,Dredging II,74.4583333333333,59.57,89.35,2015-08-03 07:00:00,2015-10-16 18:00:00,Tug Boats[4.00 #18];Dredges[2.00 #2];Dump Scows[4.00 #6],34822500
6,1.6,Dredging III,74.4583333333333,59.57,89.35,2016-08-01 07:00:00,2016-10-14 18:00:00,Tug Boats[4.00 #18];Dredges[2.00 #2];Dump Scows[4.00 #6],34822500
7,1.7,Pile Driving for Main,53.4583333333333,42.77,64.15,2015-10-19 07:00:00,2015-12-11 18:00:00,Tug Boats[8.00 #18];Hopper Scows[12.00 #40];Pile Delivery Barges[6.00 #8],127104000
8,1.8,Building Main Span,172.458333333333,137.97,206.95,2015-12-14 07:00:00,2016-06-03 18:00:00,Barge Mounted 500 ton Crane;Barge Mounted 100 ton Crane[3.00 #8];Pile Vibratory Hammer[4.00 #4];Generators[10.00 #25];Tug Boats[2.00 #18];Hopper Scows[20.00 #40];Jacking T Cranes (pylons)[2.00 #10];Temporary Cable Stayed Pylon[6.00 #8],942812500
9,1.9,Preparation for Approach Building  South,55.4583333333333,44.37,66.55,2013-10-08 07:00:00,2013-12-02 18:00:00,Sheetpile Vibratory Hammer[2.00 #3];Compressors[15.00 #20];Generators[15.00 #25];Water Pumps[20.00 #25];Rock Socket Drilling Rig[2.00 #4];Tug Boats[4.00 #18];Hopper Scows[8.00 #40];Dump Scows;Concrete Pumping Barges[5.00 #6],152368000
10,1.1,Preparation for Approach Building North,55.4583333333333,44.37,66.55,2013-12-03 07:00:00,2014-01-27 18:00:00,Sheetpile Vibratory Hammer[2.00 #3];Compressors[15.00 #20];Generators[15.00 #25];Water Pumps[20.00 #25];Rock Socket Drilling Rig[2.00 #4];Tug Boats[4.00 #18];Hopper Scows[8.00 #40];Dump Scows;Concrete Pumping Barges[5.00 #6],152368000
11,1.11,Approach Building North,83.4583333333333,66.77,100.15,2014-02-25 07:00:00,2014-05-19 18:00:00,Barge Mounted 100 ton Crane[2.00 #8];Pile Vibratory Hammer[2.00 #4];Generators[10.00 #25];Water Pumps[5.00 #25];Tug Boats[4.00 #18];Hopper Scows[12.00 #40];Dump Scows;Pile Delivery Barges[2.00 #8];Truss Delivery Barges[2.00 #2];Truss Lifting Winches;Jacking T Cranes (pylons);Temporary Cable Stayed Pylon[2.00 #8],358731000
12,1.12,Approach Building South,83.4583333333333,66.77,100.15,2013-12-03 07:00:00,2014-02-24 18:00:00,Barge Mounted 100 ton Crane[2.00 #8];Pile Vibratory Hammer[2.00 #4];Generators[10.00 #25];Water Pumps[5.00 #25];Tug Boats[4.00 #18];Hopper Scows[12.00 #40];Dump Scows;Pile Delivery Barges[2.00 #8];Truss Delivery Barges[2.00 #2];Truss Lifting Winches;Jacking T Cranes (pylons);Temporary Cable Stayed Pylon[2.00 #8],358731000
13,1.13,Construction of Temporary Finger Piers North,104.458333333333,83.57,125.35,2014-05-20 07:00:00,2014-09-01 18:00:00,Sheetpile Vibratory Hammer;Barge Mounted 100 ton Crane;Compressors[15.00 #20];Generators[15.00 #25];Water Pumps[15.00 #25];Tug Boats[2.00 #18];Hopper Scows[10.00 #40];Dump Scows[2.00 #6];Concrete Pumping Barges[2.00 #6],182950000
14,1.14,Staged Demolition of Parts North,67.4583333333333,53.97,80.95,2016-10-17 07:00:00,2016-12-23 18:00:00,Compressors[5.00 #20];Generators[10.00 #25];Dump Scows[2.00 #6],211210000
15,1.15,Construction of Abutment North,137.458333333333,109.97,164.95,2016-12-26 07:00:00,2017-05-12 18:00:00,Generators[5.00 #25];Water Pumps[5.00 #25],112500000
16,1.16,Construction of Temporary Finger Piers South,104.458333333333,83.57,125.35,2014-02-25 07:00:00,2014-06-09 18:00:00,Sheetpile Vibratory Hammer;Barge Mounted 100 ton Crane;Compressors[15.00 #20];Generators[15.00 #25];Water Pumps[15.00 #25];Tug Boats[2.00 #18];Hopper Scows[10.00 #40];Dump Scows;Concrete Pumping Barges[2.00 #6],181217500
17,1.17,Staged Demoltion of Parts South,67.4583333333333,53.97,80.95,2016-12-26 07:00:00,2017-03-03 18:00:00,Compressors[5.00 #20];Generators[10.00 #25];Dump Scows[2.00 #6],211210000
18,1.18,Construction of Abutment South,137.458333333333,109.97,164.95,2017-05-15 07:00:00,2017-09-29 18:00:00,Generators[5.00 #25];Water Pumps[5.00 #25],112500000
19,1.19,Demolition of Excisting TBZ Bridge,67.4583333333333,53.97,80.95,2017-10-02 07:00:00,2017-12-08 18:00:00,,1000000000
