node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Railway Station Antwerp,93.375,92.44,94.31,2014-01-27 08:00:00,2014-04-30 17:00:00,,22703.5192565918
3,1.1,zaal Andries,51.375,50.86,51.89,2014-01-27 08:00:00,2014-03-19 17:00:00,,4958.23983764649
1,1.1.1,schilderen traphal zaal Andries,17.375,13.9,20.85,2014-01-27 08:00:00,2014-02-13 17:00:00,Employee B;Employee C;Employee A,3653.4398803711
2,1.1.2,trapje naar beneden schilderen,6.375,5.1,7.65,2014-03-13 08:00:00,2014-03-19 17:00:00,Employee B,1304.79995727539
10,1.2,aanpassing magazijn B-MO niv. +0,11.375,11.26,11.49,2014-02-03 08:00:00,2014-02-14 17:00:00,,3131.51989746094
6,1.2.1,schilderwerken,11.375,11.26,11.49,2014-02-03 08:00:00,2014-02-14 17:00:00,,2609.59991455078
4,1.2.1.1,schilderwerken - deel 1,4.375,3.5,5.25,2014-02-03 08:00:00,2014-02-07 17:00:00,Employee D,1304.79995727539
5,1.2.1.2,schilderwerken - deel 2,4.375,3.5,5.25,2014-02-10 08:00:00,2014-02-14 17:00:00,Employee D,1304.79995727539
9,1.2.2,overige werken,2.375,2.35,2.4,2014-02-12 08:00:00,2014-02-14 17:00:00,,521.919982910157
7,1.2.2.1,plaatsing boiler,0.375,0.3,0.45,2014-02-12 08:00:00,2014-02-12 17:00:00,Employee E;Employee F,260.959991455078
8,1.2.2.2,verplaatsen deurstop,0.375,0.3,0.45,2014-02-14 08:00:00,2014-02-14 17:00:00,Employee G,260.959991455078
12,1.3,travel center,14.375,14.23,14.52,2014-02-17 08:00:00,2014-03-03 17:00:00,,2870.55990600586
11,1.3.1,travel center - vernieuwen urinoirs,14.375,11.5,17.25,2014-02-17 08:00:00,2014-03-03 17:00:00,Employee E;Employee F,2870.55990600586
14,1.4,herstellingswerken restaurant,2.375,2.35,2.4,2014-03-10 08:00:00,2014-03-12 17:00:00,,782.879974365235
13,1.4.1,schilderen radiatoren,2.375,1.9,2.85,2014-03-10 08:00:00,2014-03-12 17:00:00,Employee B,782.879974365235
16,1.5,portiersloge,3.375,3.34,3.41,2014-03-11 08:00:00,2014-03-14 17:00:00,,1043.83996582031
15,1.5.1,schilderwerken portiersloge,3.375,2.7,4.05,2014-03-11 08:00:00,2014-03-14 17:00:00,Employee D,1043.83996582031
22,1.6,lok. 211,14.375,14.23,14.52,2014-03-17 08:00:00,2014-03-31 17:00:00,,6002.0798034668
21,1.6.1,schilderen lok. 211,4.375,3.5,5.25,2014-03-17 08:00:00,2014-03-21 17:00:00,Employee D,1304.79995727539
19,1.6.2,herstelling schilderwerk,9.375,7.5,11.25,2014-03-17 08:00:00,2014-03-26 17:00:00,Employee B,2087.67993164063
20,1.6.3,schilderen automatische deuren,13.375,10.7,16.05,2014-03-18 08:00:00,2014-03-31 17:00:00,Employee D,2609.59991455078
29,1.7,renovatie toiletten VOO +1,16.375,16.21,16.54,2014-04-14 08:00:00,2014-04-30 17:00:00,,3914.39987182618
23,1.7.1,aanpassing verlichting,0.375,0.3,0.45,2014-04-14 08:00:00,2014-04-14 17:00:00,Employee H,260.959991455078
24,1.7.2,afbraak bestaande plafonds,0.375,0.3,0.45,2014-04-14 08:00:00,2014-04-14 17:00:00,Employee H;Employee I,260.959991455078
25,1.7.3,demontage elec uit bestaande plafonds,0.375,0.3,0.45,2014-04-14 08:00:00,2014-04-14 17:00:00,Employee K;Employee J,260.959991455078
26,1.7.4,opbouw nieuw vals plafond,2.375,1.9,2.85,2014-04-15 08:00:00,2014-04-17 17:00:00,Employee I;Employee H,782.879974365235
27,1.7.5,schilderwerken,8.375,6.7,10.05,2014-04-22 08:00:00,2014-04-30 17:00:00,Employee B,1826.71994018555
28,1.7.6,herstelling bestaand vals plafond in toiletten,3.375,2.7,4.05,2014-04-18 08:00:00,2014-04-21 17:00:00,Employee I;Employee H,521.919982910157
