node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
5,01.01.01,ALQUILER DE LOCAL PARA OBRA,1.0,1.0,1.0,2021-11-02 00:00:00,nan,carpenter,
6,01.01.02,CARTEL DE OBRA IMPRESION DE BANNER DE 3.60 X 2.40 m (Soporte de madera),1.0,1.0,1.0,2021-11-02 00:00:00,nan,welder,
7,01.01.03,TRANSPORTE DE MATERIALES DESDE YURIMAGUAS HASTA LA OBRA,3.0,3.0,3.0,2021-11-02 00:00:00,nan,plumber,
8,01.01.04,MOVILIZACION Y DESMOVILIZACION DE EQUIPO,2.0,2.0,2.0,2021-11-02 00:00:00,nan,team subcontractor[2.00 #8],
9,01.01.05,SERVICIOS HIGIENICOS,1.0,1.0,1.0,2021-11-02 00:00:00,nan,team subcontractor[2.00 #8],
10,01.01.06,"LIMPIEZA DE MALEZAS, ARBUSTOS DEL TERRENO (AREA TOTAL)",2.0,2.0,2.0,2021-11-02 00:00:00,nan,team subcontractor,
12,01.02.01,TRAZO Y REPLANTEO EN TERRENO NORMAL CON EQUIPO,2.0,2.0,2.0,2021-11-04 00:00:00,nan,team subcontractor[2.00 #8],
15,01.03.01.01,EQUIPO DE PROTESSION INDIVIDUAL,1.0,1.0,1.0,2021-11-02 00:00:00,nan,team subcontractor[2.00 #8],
16,01.03.01.02,EQUIPO DE PROTESSION COLECTIVO,1.0,1.0,1.0,2021-11-02 00:00:00,nan,team subcontractor[2.00 #8],
17,01.03.01.03,SEÑALIZACION TEMPORAL DE SEGURIDAD,1.0,1.0,1.0,2021-11-02 00:00:00,nan,welder,
18,01.03.01.04,RECURSOS PARA RESPUESTAS ANTE EMERGENCIAS EN SEGURIDAD Y SALUD DURANTE EL TRABAJO,1.0,1.0,1.0,2021-11-03 00:00:00,nan,team subcontractor[2.00 #8],
21,02.01.01,CORTE C/MAQUINARIA DE MATERIAL ORGANICO e=0.20m,5.0,5.0,5.0,2021-11-06 00:00:00,nan,steel worker,
22,02.01.02,EXCAVACION MANUAL DE ZANJA PARA CIMIENTOS CORRIDOS Y ZAPATAS H.MAX<=2.00M EN TERRENO NORMAL,6.0,6.0,6.0,2021-11-09 00:00:00,nan,mason,
23,02.01.03,RELLENO COMPACTADO CON MATERIAL PROPIO MEJORADO INC. PLANCHA COMPACTADORA,3.0,3.0,3.0,2021-12-02 00:00:00,nan,electrician ,
24,02.01.04,"RELLENO CON GRAVA ZARANDEADA EN ZANJA DE PERCOLACION DE 1/2"" A 2""",1.0,1.0,1.0,2021-12-05 00:00:00,nan,mason,
25,02.01.05,"CAMA DE APOYO E=2"", NIV. Y COMP. CON MATERIAL DE PRESTAMO-PREVIO AL PISO",4.0,4.0,4.0,2021-12-26 00:00:00,nan,plasterer,
26,02.01.06,NIVELACION INTERIOR APISONADO MANUAL,2.0,2.0,2.0,2021-12-24 00:00:00,nan,team subcontractor[2.00 #8],
27,02.01.07,ACARREO Y ELIMINACION MATERIAL EXCEDENTE A UNA DISTANCIA DE 100M.,2.0,2.0,2.0,2021-12-26 00:00:00,nan,carpenter,
28,02.01.08,ACOMODO Y CONFORMACION DE MATERIAL EXCEDENTE,1.0,1.0,1.0,2021-12-24 00:00:00,nan,painter,
31,02.02.01.01,"SOLADO E=4"", F'C=100 KG/CM2",3.0,3.0,3.0,2021-11-15 00:00:00,nan,welder,
33,02.02.02.01,CIMIENTO CORRIDO - FS=140KG/CM INC. PREPARACION MANUAL,4.0,4.0,4.0,2021-11-23 00:00:00,nan,welder,
35,02.02.03.01,SOBRECIMIENTO MORTERO F'C=140 KG/CM2,3.0,3.0,3.0,2021-12-07 00:00:00,nan,mason,
36,02.02.03.02,ENCOFRADO Y DESENCOFRADO EN SOBRECIMIENTO,2.0,2.0,2.0,2021-12-06 00:00:00,nan,mason,
38,02.02.04.01,"FALSO PISO DE 4"", MEZCLA 1:6 CEMENTO-ARENA",3.0,3.0,3.0,2022-01-04 00:00:00,nan,mason,
40,02.02.05.01,"CONTRAPISO DE 2"", F´c=175 kg/cm2, INC CURADO",2.0,2.0,2.0,2022-01-07 00:00:00,nan,mason,
42,02.02.06.01,"CUNETAS - MORTERO F'c= 175 kg/cm3 , MANUAL, INC CURADO",2.0,2.0,2.0,2022-01-07 00:00:00,nan,mason,
43,02.02.06.02,ENCOFRADO Y DESENCOFRADO DE CUNETAS,2.0,2.0,2.0,2022-01-05 00:00:00,nan,mason,
46,02.03.01.01,MORTERO f'c=210 kg/cm2 PARA ZAPATAS,5.0,5.0,5.0,2021-11-18 00:00:00,nan,painter,
47,02.03.01.02,"ACERO CORRUGADO Ø 1/2""fy=4200 kg/cm2",3.0,3.0,3.0,2021-11-18 00:00:00,nan,mason,
