node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Christmas market,129.375,128.08,130.67,2018-08-06 08:00:00,2018-12-13 17:00:00,,69080.349609375
1,1.1,Submit + getting approval for request usage public domain,37.16666666670062,29.73,44.6,2018-08-06 08:00:00,2018-09-12 12:00:00,,0.0
2,1.2,Contact designer for advertising poster and flyers,0.08333333329937886,0.07,0.1,2018-09-12 13:00:00,2018-09-12 15:00:00,,85.0
3,1.3,"Submit + getting approval for request usage electricity, water supply (Farys)",49.95833333329938,39.97,59.95,2018-09-12 13:00:00,2018-11-01 12:00:00,,2648.0
4,1.4,Submit + getting approval for request other licenses,37.16666666659876,29.73,44.6,2018-09-12 13:00:00,2018-10-19 17:00:00,,38.0
5,1.5,Submit + getting approval for event insurance,14.958333333299379,11.97,17.95,2018-09-12 13:00:00,2018-09-27 12:00:00,,0.0
6,1.6,Submit report form events,0.125,0.12,0.13,2018-09-12 13:00:00,2018-09-12 16:00:00,,0.0
7,1.7,Order for the ice skating rink,0.125,0.1,0.15,2018-11-01 13:00:00,2018-11-01 16:00:00,,7487.0
8,1.8,Order 35 chalets,0.75,0.6,0.9,2018-11-01 16:00:00,2018-11-02 10:00:00,,30675.0
9,1.9,Order iglo bar,0.75,0.6,0.9,2018-11-01 16:00:00,2018-11-02 10:00:00,,6140.0
10,1.1,Order drink supplier,0.7083333332993789,0.57,0.85,2018-11-01 16:00:00,2018-11-02 09:00:00,,17170.849609375
11,1.11,Order flyers and advertising posters,0.75,0.74,0.76,2018-09-12 15:00:00,2018-09-13 09:00:00,,95.0
12,1.12,Request order Stad Gent,0.08333333329937886,0.07,0.1,2018-11-02 10:00:00,2018-11-02 12:00:00,,100.0
13,1.13,"Order christmas trees, reindeers and sleigh",0.125,0.1,0.15,2018-11-02 13:00:00,2018-11-02 16:00:00,,2166.5
14,1.14,Order heaters,0.08333333329937886,0.07,0.1,2018-11-02 13:00:00,2018-11-02 15:00:00,,675.0
15,1.15,Placing posters,6.0,5.94,6.06,2018-11-15 09:00:00,2018-11-21 09:00:00,,0.0
16,1.16,Order a Santa,0.08333333329937886,0.07,0.1,2018-11-02 13:00:00,2018-11-02 15:00:00,,100.0
17,1.17,Contacting DJ's,0.125,0.1,0.15,2018-11-02 13:00:00,2018-11-02 16:00:00,,1200.0
18,1.18,Handing out flyers,0.9166666667006211,0.91,0.93,2018-11-28 11:00:00,2018-11-29 09:00:00,,0.0
19,1.19,Submit + approval request Sabam,2.7916666665987577,2.23,3.35,2018-11-02 16:00:00,2018-11-05 11:00:00,,200.0
20,1.2,Sending letters to local residents,0.20833333340124227,0.21,0.21,2018-11-05 11:00:00,2018-11-05 16:00:00,,0.0
21,1.21,Submit insurance of volunteers,0.04166666659875773,0.03,0.05,2018-09-12 13:00:00,2018-09-12 14:00:00,,0.0
22,1.22,Handing out flyers (2),0.9166666667006211,0.91,0.93,2018-12-05 11:00:00,2018-12-06 09:00:00,,0.0
23,1.23,Buy the ornaments,0.041666666700621136,0.03,0.05,2018-11-05 11:00:00,2018-11-05 12:00:00,,300.0
24,1.24,Submit + approval request 'Bilijke vergoeding',5.875,4.7,7.05,2018-09-12 13:00:00,2018-09-18 10:00:00,,0.0
25,1.25,Final chek-up preparation,0.125,0.1,0.15,2018-12-06 09:00:00,2018-12-06 12:00:00,,0.0
26,1.26,Build ice rink,2.041666666700621,1.63,2.45,2018-12-10 08:00:00,2018-12-12 09:00:00,,0.0
27,1.27,Delivery Stad Gent,0.041666666700621136,0.03,0.05,2018-12-11 08:00:00,2018-12-11 09:00:00,,0.0
28,1.28,Build chalets,0.375,0.3,0.45,2018-12-11 08:00:00,2018-12-11 17:00:00,,0.0
29,1.29,Build up the iglo bar,0.375,0.3,0.45,2018-12-11 08:00:00,2018-12-11 17:00:00,,0.0
30,1.3,Placing heras fences,0.125,0.1,0.15,2018-12-12 09:00:00,2018-12-12 12:00:00,,0.0
31,1.31,Delivery drinks,0.04166666659875773,0.03,0.05,2018-12-12 13:00:00,2018-12-12 14:00:00,,0.0
32,1.32,Build up stage,0.125,0.1,0.15,2018-12-12 13:00:00,2018-12-12 16:00:00,,0.0
33,1.33,Setting up bar,0.125,0.1,0.15,2018-12-12 14:00:00,2018-12-12 17:00:00,,0.0
34,1.34,Build up DJ booth,0.7083333332993789,0.57,0.85,2018-12-12 16:00:00,2018-12-13 09:00:00,,0.0
35,1.35,Placing ornaments,0.20833333329937886,0.21,0.21,2018-12-13 09:00:00,2018-12-13 14:00:00,,0.0
36,1.36,Placing heaters,0.08333333340124227,0.08,0.08,2018-12-13 14:00:00,2018-12-13 16:00:00,,0.0
37,1.37,Setting up tables,0.041666666700621136,0.04,0.04,2018-12-13 14:00:00,2018-12-13 15:00:00,,0.0
38,1.38,Final check-up,0.04166666659875773,0.03,0.05,2018-12-13 16:00:00,2018-12-13 17:00:00,,0.0
