node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
2,1.1,betonkolommen/kokers GLV,1.0,0.8,1.2,2022-09-15 08:00:00,nan,,
3,1.2,opgaande werken GLV,10.0,8.0,12.0,2022-09-19 08:00:00,nan,,
4,1.3,wapeningskorven/poutrellen GLV,1.0,0.8,1.2,2022-09-30 08:00:00,nan,,
5,1.4,welfsels/predallen afdek GLV,1.0,0.8,1.2,2022-10-04 08:00:00,nan,,
6,1.5,wapening+bekisting afdek GLV,1.0,0.8,1.2,2022-10-05 08:00:00,nan,,
7,1.6,betonstort afdek GLV,1.0,0.8,1.2,2022-10-07 08:00:00,nan,,
8,1.7,betonkolommen/kokers V1,1.0,0.8,1.2,2022-10-11 08:00:00,nan,,
9,1.8,opgaande werken V1,9.0,7.2,10.8,2022-10-12 08:00:00,nan,,
10,1.9,wapeningskorven/poutrellen V1,1.0,0.8,1.2,2022-10-25 08:00:00,nan,,
11,1.1,welfsels/predallen afdek V1,1.0,0.8,1.2,2022-10-28 08:00:00,nan,,
12,1.11,wapening+bekisting afdek V1,1.0,0.8,1.2,2022-11-04 08:00:00,nan,,
13,1.12,betonstort afdek V1,1.0,0.8,1.2,2022-11-08 08:00:00,nan,,
14,1.13,opgaande werken + ringbalk V2,5.0,4.0,6.0,2022-11-09 08:00:00,nan,,
15,1.14,plaatsen koppels dakstructuur,1.0,0.8,1.2,2022-11-17 08:00:00,nan,,
16,1.15,gevelmetselwerk,20.0,16.0,24.0,2022-11-17 08:00:00,nan,,
17,1.16,opmeten dorpels,1.0,0.8,1.2,2022-12-15 08:00:00,nan,,
18,1.17,plaatsen dorpels,2.0,1.6,2.4,2023-01-19 08:00:00,nan,,
19,1.18,opmeten ramen en deuren,5.0,4.0,6.0,2023-01-23 08:00:00,nan,,
20,1.19,opmeten garagepoort,1.0,0.8,1.2,2023-01-23 08:00:00,nan,,
21,1.2,opmeting lift,1.0,0.8,1.2,2023-01-23 08:00:00,nan,,
22,1.21,daktimmerwerk,10.0,8.0,12.0,2022-12-15 08:00:00,nan,,
23,1.22,dakbedekking & goten,15.0,12.0,18.0,2023-01-12 08:00:00,nan,,
24,1.23,plaatsing Anohid deuprofielen,3.0,2.4,3.6,2023-01-30 08:00:00,nan,,
25,1.24,opstart technieken,10.0,8.0,12.0,2023-01-30 08:00:00,nan,,
26,1.25,sanitair fase 1,10.0,8.0,12.0,2023-02-13 08:00:00,nan,,
27,1.26,ventilatie fase 1,10.0,8.0,12.0,2022-02-27 08:00:00,nan,,
28,1.27,elektriciteit fase 1,10.0,8.0,12.0,2022-03-13 08:00:00,nan,,
29,1.28,plat dak EPDM,3.0,2.4,3.6,2023-03-27 08:00:00,nan,,
30,1.29,plaatsing ramen en deuren,6.0,4.8,7.2,2023-05-15 08:00:00,nan,,
31,1.3,plaatsing garagepoort,1.0,0.8,1.2,2023-05-09 08:00:00,nan,,
32,1.31,water- en winddicht,0.0,0.0,0.0,2023-05-23 08:00:00,nan,,
33,1.32,gyplat + pleisterwerken,15.0,12.0,18.0,2023-05-23 08:00:00,nan,,
34,1.33,opmeten trap,1.0,0.8,1.2,2023-06-13 08:00:00,nan,,
35,1.34,vloerisolatie PUR/EPS,5.0,4.0,6.0,2023-06-13 08:00:00,nan,,
36,1.35,vloerverwarming,2.0,1.6,2.4,2023-06-20 08:00:00,nan,,
37,1.36,chapewerken,3.0,2.4,3.6,2023-06-27 08:00:00,nan,,
38,1.37,opstart vloerverwarming,15.0,12.0,18.0,2023-06-30 08:00:00,nan,,
39,1.38,definitieve aansluiting fluvius,1.0,0.8,1.2,2023-06-30 08:00:00,nan,,
40,1.39,definitieve aansluiting farys,1.0,0.8,1.2,2023-06-30 08:00:00,nan,,
41,1.4,ventilatie fase 2,5.0,4.0,6.0,2023-06-30 08:00:00,nan,,
42,1.41,elektriciteit fase 2,10.0,8.0,12.0,2023-06-30 08:00:00,nan,,
43,1.42,sanitair fase 2,10.0,8.0,12.0,2023-06-30 08:00:00,nan,,
44,1.43,plaatsing trap,1.0,0.8,1.2,2023-08-31 08:00:00,nan,,
45,1.44,gietvloer/tegels/parket,20.0,16.0,24.0,2023-09-02 08:00:00,nan,,
46,1.45,plaatsing lift,5.0,4.0,6.0,2023-10-02 08:00:00,nan,,
47,1.46,elektriciteit fase 3 + verlichting,10.0,8.0,12.0,2023-10-02 08:00:00,nan,,
48,1.47,binnendeuren,5.0,4.0,6.0,2023-10-02 08:00:00,nan,,
49,1.48,binnenschrijnwerk,20.0,16.0,24.0,2023-10-02 08:00:00,nan,,
