node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,534.375,529.03,539.72,2017-11-27 08:00:00,2019-05-15 17:00:00,,75881203.6113281
1,1.1,Stadium,534.375,529.03,539.72,2017-11-27 08:00:00,2019-05-15 17:00:00,,75881203.6113281
2,1.1.1,Preparatory infrastructure construction,42.375,41.95,42.8,2017-11-27 08:00:00,2018-01-08 17:00:00,,312807.0
3,1.1.1.1,Detailed site analysis,17.375,13.9,20.85,2017-11-27 08:00:00,2017-12-14 17:00:00,,31280.69921875
4,1.1.1.2,Road access,13.375,10.7,16.05,2017-12-15 08:00:00,2017-12-28 17:00:00,,46921.05078125
5,1.1.1.3,Water supply,13.375,10.7,16.05,2017-12-15 08:00:00,2017-12-28 17:00:00,,78201.75
6,1.1.1.4,Electricity,13.375,10.7,16.05,2017-12-15 08:00:00,2017-12-28 17:00:00,,46921.05078125
7,1.1.1.5,Storm and sewer water systems,24.375,19.5,29.25,2017-12-15 08:00:00,2018-01-08 17:00:00,,78201.75
8,1.1.1.6,Transportation preparation,6.375,5.1,7.65,2017-12-29 08:00:00,2018-01-04 17:00:00,,31280.69921875
9,1.1.2,Foundation Work,90.375,89.47,91.28,2018-01-09 08:00:00,2018-04-09 17:00:00,,8689113.125
10,1.1.2.1,Subsurface drainage,8.375,6.7,10.05,2018-01-09 08:00:00,2018-01-17 17:00:00,,1303367.0
11,1.1.2.2,Groundbreaking ceremony,0.0,0.0,0.0,2018-01-17 17:00:00,2018-01-17 17:00:00,,0.0
12,1.1.2.3,Excavations,13.375,10.7,16.05,2018-01-18 08:00:00,2018-01-31 17:00:00,,868911.3125
13,1.1.2.4,Placing pipes into the ground,11.375,9.1,13.65,2018-02-01 08:00:00,2018-02-12 17:00:00,,2172278.25
14,1.1.2.5,Lay foundation concrete,13.375,10.7,16.05,2018-02-13 08:00:00,2018-02-26 17:00:00,,2172278.25
15,1.1.2.6,Pour base concrete,20.375,16.3,24.45,2018-02-27 08:00:00,2018-03-19 17:00:00,,1303367.0
16,1.1.2.7,Pour concrete for stands,20.375,16.3,24.45,2018-03-20 08:00:00,2018-04-09 17:00:00,,868911.3125
17,1.1.3,Other concrete,122.375,121.15,123.6,2018-04-10 08:00:00,2018-08-10 17:00:00,,14461855.5
18,1.1.3.1,Building colums,37.375,29.9,44.85,2018-04-10 08:00:00,2018-05-17 17:00:00,,3610464.0
19,1.1.3.2,Building raker beams,53.375,42.7,64.05,2018-05-18 08:00:00,2018-07-10 17:00:00,,3610464.0
20,1.1.3.3,Building floor slabs,30.375,24.3,36.45,2018-04-10 08:00:00,2018-05-10 17:00:00,,2172278.25
21,1.1.3.4,Building elevator shafts,28.375,22.7,34.05,2018-07-11 08:00:00,2018-08-08 17:00:00,,1448185.5
22,1.1.3.5,Building stairs,30.375,24.3,36.45,2018-07-11 08:00:00,2018-08-10 17:00:00,,2172278.25
23,1.1.3.6,Building emergency exits,8.375,6.7,10.05,2018-07-11 08:00:00,2018-07-19 17:00:00,,1448185.5
24,1.1.4,Prefabricated elements,95.375,94.42,96.33,2018-08-13 08:00:00,2018-11-16 17:00:00,,17378226.25
25,1.1.4.1,Building lower tier of the stands,46.375,37.1,55.65,2018-08-13 08:00:00,2018-09-28 17:00:00,,6951290.5
26,1.1.4.2,Building upper tier of the stands,46.375,37.1,55.65,2018-10-01 08:00:00,2018-11-16 17:00:00,,6951290.5
27,1.1.4.3,"Mechanical, electrical& plumbing installations (MEP)",18.375,14.7,22.05,2018-08-13 08:00:00,2018-08-31 17:00:00,,3475645.25
28,1.1.5,Roof construction & facade,141.375,139.96,142.79,2018-08-09 08:00:00,2018-12-28 17:00:00,,17378226.75
29,1.1.5.1,Building steel columns (vertical support),21.375,17.1,25.65,2018-08-09 08:00:00,2018-08-30 17:00:00,,5213468.0
30,1.1.5.2,"Building radial roof elements, whether they be cables or steel truss elements",34.375,27.5,41.25,2018-08-31 08:00:00,2018-10-04 17:00:00,,2606734.0
31,1.1.5.3,Building roof,49.375,39.5,59.25,2018-10-05 08:00:00,2018-11-23 17:00:00,,6082379.5
32,1.1.5.4,Building cladding elements for both the façade and roof can be applied,32.375,25.9,38.85,2018-11-26 08:00:00,2018-12-28 17:00:00,,3475645.25
33,1.1.6,Exterior Design Work,60.375,59.77,60.98,2018-11-26 08:00:00,2019-01-25 17:00:00,,4500000.0
34,1.1.6.1,Preparation exterior design work,46.375,37.1,55.65,2018-11-26 08:00:00,2019-01-11 17:00:00,,2500000.0
35,1.1.6.2,Add exterior design,11.375,9.1,13.65,2019-01-14 08:00:00,2019-01-25 17:00:00,,1000000.0
36,1.1.6.3,Light installation,25.375,20.3,30.45,2018-11-26 08:00:00,2018-12-21 17:00:00,,1000000.0
37,1.1.7,Trafic and Parking,46.375,45.91,46.84,2018-12-31 08:00:00,2019-02-15 17:00:00,,2500000.0
38,1.1.7.1,Building parking,25.375,20.3,30.45,2019-01-21 08:00:00,2019-02-15 17:00:00,,2000000.0
39,1.1.7.2,Access to Public Transportation,18.375,14.7,22.05,2018-12-31 08:00:00,2019-01-18 17:00:00,,500000.0
40,1.1.8,Hard Construction cmpleted,0.0,0.0,0.0,2019-02-15 17:00:00,2019-02-15 17:00:00,,0.0
41,1.1.9,"Furniture, Fixture and Equipment operation",116.375,115.21,117.54,2018-11-19 08:00:00,2019-03-15 17:00:00,,361731.986328125
42,1.1.9.1,Interior design applications,25.375,20.3,30.45,2018-12-24 08:00:00,2019-01-18 17:00:00,,180866.0
43,1.1.9.2,Installation seats,32.375,25.9,38.85,2018-11-19 08:00:00,2018-12-21 17:00:00,,72346.3984375
44,1.1.9.3,VIP lounge,11.375,9.1,13.65,2019-02-18 08:00:00,2019-03-01 17:00:00,,54259.7890625
45,1.1.9.4,Commentators lounge,11.375,9.1,13.65,2019-03-04 08:00:00,2019-03-15 17:00:00,,36173.19921875
46,1.1.9.5,Dressing rooms,8.375,6.7,10.05,2019-03-04 08:00:00,2019-03-12 17:00:00,,18086.599609375
47,1.1.10,"Scorebord, volume and video system",18.375,14.7,22.05,2019-03-04 08:00:00,2019-03-22 17:00:00,,3906715.0
48,1.1.11,The lawn,37.375,37.0,37.75,2019-03-18 08:00:00,2019-04-24 17:00:00,,1500000.0
49,1.1.11.1,Ground preparation,4.375,3.5,5.25,2019-03-18 08:00:00,2019-03-22 17:00:00,,200000.0
50,1.1.11.2,Installation klimate system,11.375,9.1,13.65,2019-03-25 08:00:00,2019-04-05 17:00:00,,1000000.0
51,1.1.11.3,Laying out the lawn,2.375,1.9,2.85,2019-04-08 08:00:00,2019-04-10 17:00:00,,250000.0
52,1.1.11.4,Breeding,13.375,10.7,16.05,2019-04-11 08:00:00,2019-04-24 17:00:00,,50000.0
53,1.1.12,IT,29.375,29.08,29.67,2019-03-25 08:00:00,2019-04-23 17:00:00,,4702528.0
54,1.1.12.1,Hardware installation,11.375,9.1,13.65,2019-03-25 08:00:00,2019-04-05 17:00:00,,1881011.25
55,1.1.12.2,Software installation,18.375,14.7,22.05,2019-03-25 08:00:00,2019-04-12 17:00:00,,1410758.375
56,1.1.12.3,Installation internal communication systems,8.375,6.7,10.05,2019-04-15 08:00:00,2019-04-23 17:00:00,,705379.1875
57,1.1.12.4,Installation external communication systems,8.375,6.7,10.05,2019-04-15 08:00:00,2019-04-23 17:00:00,,705379.1875
58,1.1.13,Tests and accreditations,21.375,21.16,21.59,2019-04-24 08:00:00,2019-05-15 17:00:00,,190000.0
59,1.1.13.1,Accreditation Light,2.375,1.9,2.85,2019-04-24 08:00:00,2019-04-26 17:00:00,,50000.0
60,1.1.13.2,Accreditaton Lawn,4.375,3.5,5.25,2019-04-25 08:00:00,2019-04-29 17:00:00,,10000.0
61,1.1.13.3,Accreditation security issues,2.375,1.9,2.85,2019-04-29 08:00:00,2019-05-01 17:00:00,,10000.0
62,1.1.13.4,Accreditaton communication systems,2.375,1.9,2.85,2019-04-24 08:00:00,2019-04-26 17:00:00,,40000.0
63,1.1.13.5,Test run,13.375,10.7,16.05,2019-05-02 08:00:00,2019-05-15 17:00:00,,80000.0
64,1.2,Building comleted,0.0,0.0,0.0,2019-05-15 17:00:00,2019-05-15 17:00:00,,0.0
