node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project,13.083333333401242,12.95,13.21,2019-07-17 08:00:00,2019-07-30 10:00:00,,0
1,1.1,Searching + finding a conctractor,1.3333333334012423,1.07,1.6,2019-07-17 08:00:00,2019-07-18 16:00:00,,0
2,1.2,searching + finding an architect,0.25,0.2,0.3,2019-07-17 08:00:00,2019-07-17 14:00:00,,0
3,1.3,Searching and appointing safety manager,0.08333333340124227,0.07,0.1,2019-07-17 08:00:00,2019-07-17 10:00:00,,0
4,1.4,First team meeting: Explanation + division tasks,0.16666666670062114,0.13,0.2,2019-07-17 08:00:00,2019-07-17 12:00:00,,0
5,1.5,Order + delivery containers for discharging wood,1.1666666667006211,0.93,1.4,2019-07-17 08:00:00,2019-07-18 12:00:00,,0
6,1.6,Order + delivery containers for discharging waste walls ,0.29166666670062114,0.23,0.35,2019-07-17 08:00:00,2019-07-17 15:00:00,,0
7,1.7,Order + delivery concrete,2.375,1.9,2.85,2019-07-17 08:00:00,2019-07-19 17:00:00,,0
8,1.8,Order + delivery ventilation systems,9.166666666700621,7.33,11.0,2019-07-17 08:00:00,2019-07-26 12:00:00,,0
9,1.9,Breaking 2 holes in the wall ,0.08333333340124227,0.07,0.1,2019-07-17 08:00:00,2019-07-17 10:00:00,,0
10,1.1,Installing 2 ventilation systems,1.2083333332993789,0.97,1.45,2019-07-17 10:00:00,2019-07-18 15:00:00,,0
11,1.11,Cutting out the floor ,4.166666666598758,3.33,5.0,2019-07-18 13:00:00,2019-07-22 17:00:00,,0
12,1.12,Cleaning construction site,0.875,0.7,1.05,2019-07-18 15:00:00,2019-07-19 12:00:00,,0
13,1.13,Pouring concrete,3.9166666665987577,3.13,4.7,2019-07-19 13:00:00,2019-07-23 11:00:00,,0
14,1.14,Order + delivery sandwich pallets,4.958333333299379,3.97,5.95,2019-07-19 13:00:00,2019-07-24 12:00:00,,0
15,1.15,Ordering + delivery new door ,3.958333333299379,3.17,4.75,2019-07-19 13:00:00,2019-07-23 12:00:00,,0
16,1.16,Shining the concrete,0.9583333334012423,0.77,1.15,2019-07-23 11:00:00,2019-07-24 10:00:00,,0
17,1.17,Hardening of the concrete,2.0,1.6,2.4,2019-07-24 10:00:00,2019-07-26 10:00:00,,0
18,1.18,Cleaning construction site,0.08333333329937886,0.07,0.1,2019-07-26 10:00:00,2019-07-26 12:00:00,,0
19,1.19,Mid-term team meeting ,0.16666666659875773,0.13,0.2,2019-07-26 10:00:00,2019-07-26 14:00:00,,0
20,1.2,Putting sandwich pallets against the walls,2.875,2.3,3.45,2019-07-26 14:00:00,2019-07-29 11:00:00,,0
21,1.21,Installing new door,0.08333333340124227,0.07,0.1,2019-07-26 14:00:00,2019-07-26 16:00:00,,0
22,1.22,Cleaning construction site,0.20833333340124227,0.17,0.25,2019-07-29 11:00:00,2019-07-29 16:00:00,,0
23,1.23,Food security inspection,0.75,0.6,0.9,2019-07-29 16:00:00,2019-07-30 10:00:00,,0
24,1.24,Breaking 2 holes in the wall ,0.08333333340124227,0.07,0.1,2019-07-17 08:00:00,2019-07-17 10:00:00,,0
25,1.25,Installing 2 ventilation systems,1.2083333332993789,0.97,1.45,2019-07-17 10:00:00,2019-07-18 15:00:00,,0
26,1.26,Putting sandwich pallets against the walls,0.875,0.7,1.05,2019-07-18 15:00:00,2019-07-19 12:00:00,,0
27,1.27,Installing new door,0.08333333329937886,0.07,0.1,2019-07-18 15:00:00,2019-07-18 17:00:00,,0
28,1.28,Cleaning construction site,0.125,0.1,0.15,2019-07-19 13:00:00,2019-07-19 16:00:00,,0
29,1.29,Food security inspection,2.75,2.2,3.3,2019-07-19 16:00:00,2019-07-22 10:00:00,,0
