node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Railway Station Sint-Joost,243.375,240.94,245.81,2011-01-26 08:00:00,2011-09-26 17:00:00,,59830.757456
1,1.1,inrichten werf,9.375,7.5,11.25,2011-01-26 08:00:00,2011-02-04 17:00:00,werkkracht[0.83 #1];kraan[0.25 #1],3045.361648
2,1.2,verwijdering pui n en afval,1.375,1.1,1.65,2011-02-24 08:00:00,2011-02-25 17:00:00,werkkracht;kraan[0.25 #1],1020.16
3,1.3,opbraak blauwe hardsteen,7.375,5.9,8.85,2011-02-24 08:00:00,2011-03-03 17:00:00,werkkracht[0.50 #1];kraan[0.75 #1],2430.24
4,1.4,opbraak metselwerk,7.375,5.9,8.85,2011-02-24 08:00:00,2011-03-03 17:00:00,werkkracht[0.83 #1];kraan[0.50 #1],2961.3984
5,1.5,structuur gewapend beton,28.375,22.7,34.05,2011-03-04 08:00:00,2011-04-01 17:00:00,werkkracht[0.83 #1];kraan[0.50 #1],9871.328
6,1.6,baksteen metselwerk,130.375,104.3,156.45,2011-04-04 08:00:00,2011-08-12 17:00:00,werkkracht[0.50 #1];kraan[0.25 #1],18812.64
7,1.7,levering blauwe hardsteen,4.375,3.5,5.25,2011-03-04 08:00:00,2011-03-08 17:00:00,werkkracht[0.50 #1],675.12
8,1.8,restauratie blauwe hardteen,5.375,4.3,6.45,2011-03-04 08:00:00,2011-03-09 17:00:00,werkkracht[0.33 #1],599.866624
9,1.9,plaatsen blauwe hardteen,43.375,34.7,52.05,2011-04-04 08:00:00,2011-05-17 17:00:00,werkkracht[0.50 #1];kraan[0.75 #1],9720.96
10,1.1,decoratieve elementen,3.375,2.7,4.05,2011-03-04 08:00:00,2011-03-07 17:00:00,werkkracht[0.50 #1],450.08
11,1.11,buitenschrijnwerk aluminium,6.375,5.1,7.65,2011-03-04 08:00:00,2011-03-10 17:00:00,werkkracht[0.50 #1],1125.2
12,1.12,zandstralen trappen en steunmuren,3.375,2.7,4.05,2011-08-16 08:00:00,2011-08-19 17:00:00,werkkracht[0.50 #1],900.16
13,1.13,zandstralen kopmuur,3.375,2.7,4.05,2011-03-04 08:00:00,2011-03-07 17:00:00,werkkracht[0.83 #1],747.1328
14,1.14,herstelling gereinigde elementen natuursteen,6.375,5.1,7.65,2011-08-24 08:00:00,2011-08-30 17:00:00,werkkracht[0.50 #1],900.16
15,1.15,anti-graffiti behandeling,7.375,5.9,8.85,2011-09-09 08:00:00,2011-09-16 17:00:00,werkkracht[0.50 #1],1350.24
16,1.16,herstelling metselwerk,6.375,5.1,7.65,2011-08-24 08:00:00,2011-08-30 17:00:00,werkkracht[0.50 #1],900.16
17,1.17,heropvoeging metselwerk,7.375,5.9,8.85,2011-08-31 08:00:00,2011-09-07 17:00:00,werkkracht[0.33 #1],900.069984
18,1.18,opkuis werf,7.375,5.9,8.85,2011-09-19 08:00:00,2011-09-26 17:00:00,werkkracht;kraan[0.50 #1],3420.48
