node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,fontein,137.04166666670062,135.67,138.41,2015-06-01 08:00:00,2015-10-16 09:00:00,,115115.238876343
1,1.1,Opmaak gedetailleerde uitvoeringsstudie,1.375,1.1,1.65,2015-06-01 08:00:00,2015-06-02 17:00:00,people,442.0
2,1.2,Goedkeuring van de uitvoeringsstudie en de stalen,2.375,1.9,2.85,2015-06-03 08:00:00,2015-06-05 17:00:00,,30.0
3,1.3,Productie prefab betonelementen,81.375,65.1,97.65,2015-06-08 08:00:00,2015-08-28 17:00:00,,35261.0
4,1.4,Productie prefab cisterne,15.375,12.3,18.45,2015-06-08 08:00:00,2015-06-23 17:00:00,,2987.19995117188
5,1.5,Productie elektrische kast,4.375,3.5,5.25,2015-06-15 08:00:00,2015-06-19 17:00:00,people,4115.0
6,1.6,Productie spuitarmaturen,2.375,1.9,2.85,2015-06-08 08:00:00,2015-06-10 17:00:00,people,1874.90002441406
7,1.7,Bouwrijp maken van perceel: wegnemen van hinderende elemente,1.375,1.1,1.65,2015-06-08 08:00:00,2015-06-09 17:00:00,,532.849975585938
8,1.8,Controle aanwezigheid grondwater,7.166666666700621,5.73,8.6,2015-06-17 08:00:00,2015-06-24 12:00:00,people[2.00 #6],560.0
9,1.9,Graven van bouwput cisterne,0.16666666659875773,0.13,0.2,2015-06-24 13:00:00,2015-06-24 17:00:00,people[2.00 #6],2342.64990234375
10,1.1,Plaatsen en aanvullen van cisterne + overloop,0.16666666670062114,0.13,0.2,2015-06-25 08:00:00,2015-06-25 12:00:00,people[2.00 #6],1531.23999023438
11,1.11,Realiseren van opzetelement,0.16666666659875773,0.13,0.2,2015-06-25 13:00:00,2015-06-25 17:00:00,people,495.829986572266
12,1.12,Plaatsen van toegangsluik,0.08333333340124227,0.07,0.1,2015-06-26 08:00:00,2015-06-26 10:00:00,people[2.00 #6],2312.78002929688
13,1.13,fundering,6.375,5.1,7.65,2015-06-10 08:00:00,2015-06-16 17:00:00,people[3.00 #6],7474.7998046875
