node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Commercial IT Project ,78.25,77.47,79.03,2010-10-19 08:00:00,2011-01-05 14:00:00,,33622.8
22,1.1,Explore the market,13.375,10.7,16.05,2010-10-19 08:00:00,2010-11-01 17:00:00,,4000.0
23,1.2,Set up a survey,2.375,1.9,2.85,2010-11-02 08:00:00,2010-11-04 17:00:00,,2000.0
24,1.3,Analysis of the market,20.375,16.3,24.45,2010-11-05 08:00:00,2010-11-25 17:00:00,,1000.0
1,1.4,Problem study/analysis,4.375,3.5,5.25,2010-11-26 08:00:00,2010-11-30 17:00:00,Analyst programmer;IT Manager[0.20 #1],595.2
39,1.5,Negotiate and buy server,1.375,1.1,1.65,2010-12-01 08:00:00,2010-12-02 17:00:00,Marketing manager[0.50 #1];IT Manager[0.10 #1],10286.4
40,1.6,Negotiate and buy computer,1.375,1.1,1.65,2010-12-01 08:00:00,2010-12-02 17:00:00,IT Manager[0.10 #1];Marketing manager[0.50 #1],3286.4
2,1.7,Processmodels (BPMN),0.333333333333333,0.27,0.4,2010-12-01 08:00:00,2010-12-01 16:00:00,Analyst programmer,133.0
3,1.8,Conceptual datamodel (ER),0.375,0.3,0.45,2010-12-01 08:00:00,2010-12-01 17:00:00,Analyst programmer,152.0
4,1.9,Normalisation DB,0.166666666666667,0.13,0.2,2010-12-02 08:00:00,2010-12-02 12:00:00,Database administrator,76.0
5,1.1,Datamap,0.0416666666666667,0.03,0.05,2010-12-02 13:00:00,2010-12-02 14:00:00,Analyst programmer[0.50 #1];Database administrator[0.50 #1],19.0
6,1.11,Logic Databasemodel,0.0833333333333333,0.07,0.1,2010-12-02 14:00:00,2010-12-02 16:00:00,Database administrator,38.0
7,1.12,Software design (UML-class diagram),1.375,1.1,1.65,2010-12-02 08:00:00,2010-12-03 17:00:00,Analyst programmer[0.30 #1],91.2
8,1.13,Develop Database Tables 1,0.916666666666667,0.73,1.1,2010-12-02 16:00:00,2010-12-03 14:00:00,Database administrator,114.0
9,1.14,Develop Database Tables 2,1.0,0.8,1.2,2010-12-02 16:00:00,2010-12-03 16:00:00,Database administrator,152.0
10,1.15,Design & Develop GUI 1,1.375,1.1,1.65,2010-12-06 08:00:00,2010-12-07 17:00:00,Programmers,272.0
11,1.16,Design & Develop GUI 2,2.25,1.8,2.7,2010-12-06 08:00:00,2010-12-08 14:00:00,Programmers[1.50 #3],535.5
25,1.17,Design CD-box,14.0,11.2,16.8,2010-12-08 14:00:00,2010-12-22 14:00:00,,250.0
26,1.18,Design CD-labels,14.0,11.2,16.8,2010-12-08 14:00:00,2010-12-22 14:00:00,,50.0
12,1.19,Develop SQL's 1,4.08333333333333,3.27,4.9,2010-12-03 14:00:00,2010-12-07 16:00:00,Database administrator[0.40 #1],136.8
13,1.2,Develop SQL's 2,4.79166666666667,3.83,5.75,2010-12-03 16:00:00,2010-12-08 11:00:00,Database administrator[0.60 #1],228.0
14,1.21,Debug SQL’s 1,1.70833333333333,1.37,2.05,2010-12-07 16:00:00,2010-12-09 09:00:00,Database administrator[0.40 #1],76.0
15,1.22,Debug SQL’s 2,1.20833333333333,0.97,1.45,2010-12-08 11:00:00,2010-12-09 16:00:00,Database administrator[0.60 #1],136.8
16,1.23,Implement SQL’s in JAVA 1,0.0416666666666667,0.03,0.05,2010-12-09 09:00:00,2010-12-09 10:00:00,Programmers[2.00 #3],34.0
17,1.24,Implement SQL’s in JAVA 2,0.0416666666666667,0.03,0.05,2010-12-09 16:00:00,2010-12-09 17:00:00,Programmers[2.50 #3],42.5
18,1.25,Develop program 1,5.0,4.0,6.0,2010-12-09 10:00:00,2010-12-14 10:00:00,Programmers[2.00 #3],816.0
19,1.26,Develop program 2,5.25,4.2,6.3,2010-12-10 08:00:00,2010-12-15 14:00:00,Programmers[3.00 #3],1479.0
20,1.27,Testing & Debugging 1,1.0,0.8,1.2,2010-12-14 10:00:00,2010-12-15 10:00:00,Programmers[2.00 #3],272.0
21,1.28,Testing & Debugging 2,1.0,0.8,1.2,2010-12-15 14:00:00,2010-12-16 14:00:00,Programmers[3.00 #3],408.0
38,1.29,Visitations by sales representatives,14.0,11.2,16.8,2010-12-16 14:00:00,2010-12-30 14:00:00,Sales representatives[2.00 #2],2400.0
37,1.3,Direct mailings,0.0833333333333333,0.07,0.1,2010-12-16 14:00:00,2010-12-16 16:00:00,Secretary;Marketing manager[0.50 #1],52.0
27,1.31,Make up report + presentation Alpha version,4.0,3.2,4.8,2010-12-16 14:00:00,2010-12-20 14:00:00,Secretary;Analyst programmer[0.30 #1],267.2
28,1.32,Presentation Alpha version,0.0833333333333333,0.07,0.1,2010-12-20 14:00:00,2010-12-20 16:00:00,IT Manager;Analyst programmer,96.0
29,1.33,Reading of management report + Approval Alpha,0.833333333333333,0.67,1.0,2010-12-20 16:00:00,2010-12-21 12:00:00,IT Manager[0.50 #1],72.5
31,1.34,Testing phase Alpha version,2.95833333333333,2.37,3.55,2010-12-21 13:00:00,2010-12-24 12:00:00,Programmers[2.00 #3];Database administrator[0.30 #1];Analyst programmer[0.10 #1],998.4
32,1.35,Fix outstanding problems from Alpha,3.08333333333333,2.47,3.7,2010-12-24 13:00:00,2010-12-27 15:00:00,Programmers,170.0
33,1.36,Make up Report+ presentation Beta version,1.0,0.8,1.2,2010-12-27 15:00:00,2010-12-28 15:00:00,Secretary;Analyst programmer[0.20 #1],118.4
34,1.37,Presentation Beta version,0.0833333333333333,0.07,0.1,2010-12-28 15:00:00,2010-12-28 17:00:00,IT Manager;Analyst programmer,96.0
35,1.38,Reading of management report + Approval Beta,0.25,0.2,0.3,2010-12-29 08:00:00,2010-12-29 14:00:00,IT Manager[0.50 #1],72.5
36,1.39,Launch and installation Beta version,7.0,5.6,8.4,2010-12-29 14:00:00,2011-01-05 14:00:00,Technicians[3.00 #3],1560.0
41,1.4,Installation server,7.0,5.6,8.4,2010-12-29 14:00:00,2011-01-05 14:00:00,Technicians,520.0
42,1.41,Installation computer,7.0,5.6,8.4,2010-12-29 14:00:00,2011-01-05 14:00:00,Technicians,520.0
