node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Debt Collection System,208.166666666667,206.09,210.25,2013-10-24 08:00:00,2014-05-20 12:00:00,,458112.368399999
9,1.1,define,55.375,54.82,55.93,2013-10-24 08:00:00,2013-12-18 17:00:00,,41864.71
1,1.1.1,kick-off meeting,0.375,0.3,0.45,2013-10-24 08:00:00,2013-10-24 17:00:00,Employee A,558.56
266,1.1.2,project charter set,31.375,31.06,31.69,2013-11-04 08:00:00,2013-12-05 17:00:00,,37495.44
2,1.1.2.1,project charter (scope definition),31.375,25.1,37.65,2013-11-04 08:00:00,2013-12-05 17:00:00,Employee A;Employee B,36531.84
3,1.1.2.2,project security risks,0.375,0.3,0.45,2013-11-13 08:00:00,2013-11-13 17:00:00,Employee B,963.6
267,1.1.3,project charter - communication and validation,23.375,23.14,23.61,2013-11-25 08:00:00,2013-12-18 17:00:00,,3810.71
4,1.1.3.1,inform  IT governance,0.0416666666666667,0.03,0.05,2013-11-25 08:00:00,2013-11-25 09:00:00,Employee B;Employee C,240.9
5,1.1.3.2,send info,0.375,0.3,0.45,2013-11-28 08:00:00,2013-11-28 17:00:00,Employee B;Employee D,1927.2
6,1.1.3.3,send project charter for validation + delivery board validation,3.04166666666667,2.43,3.65,2013-12-13 08:00:00,2013-12-16 09:00:00,Employee B,1084.05
7,1.1.3.4,business validation,0.375,0.3,0.45,2013-12-17 08:00:00,2013-12-17 17:00:00,Employee A,558.56
8,1.1.3.5,end of define,0.0,0.0,0.0,2013-12-18 17:00:00,2013-12-18 17:00:00,,0.0
22,1.2,design,77.375,76.6,78.15,2013-11-25 08:00:00,2014-02-10 17:00:00,,107215.84
15,1.2.1,blueprint set,59.375,58.78,59.97,2013-11-25 08:00:00,2014-01-23 17:00:00,,103826.72
10,1.2.1.1,functional analysis List/file creation,32.375,25.9,38.85,2013-12-02 08:00:00,2014-01-03 17:00:00,Employee G,15056.0
11,1.2.1.2,functional analysis Monitoring,44.375,35.5,53.25,2013-11-25 08:00:00,2014-01-08 17:00:00,Employee H,19873.92
12,1.2.1.3,functional analysis Interfacing,39.375,31.5,47.25,2013-11-25 08:00:00,2014-01-03 17:00:00,Employee F;Employee I,36134.4
13,1.2.1.4,architecture analysis,32.375,25.9,38.85,2013-11-25 08:00:00,2013-12-27 17:00:00,Employee E,24090.0
14,1.2.1.5,budget &amp; planning for development + master test chapter,10.375,8.3,12.45,2014-01-13 08:00:00,2014-01-23 17:00:00,Employee B,8672.4
21,1.2.2,design phase - validations,20.375,20.17,20.58,2014-01-21 08:00:00,2014-02-10 17:00:00,,3389.12
16,1.2.2.1,presentation to Business part 1,0.166666666666667,0.13,0.2,2014-01-21 08:00:00,2014-01-21 12:00:00,Employee G;Employee F,602.24
17,1.2.2.2,presentation to Business part 2,0.166666666666667,0.13,0.2,2014-01-31 08:00:00,2014-01-31 12:00:00,Employee H,301.12
18,1.2.2.3,send to delivery board + IT governance validation,3.375,2.7,4.05,2014-02-07 08:00:00,2014-02-10 17:00:00,Employee B,1927.2
19,1.2.2.4,business validation,0.375,0.3,0.45,2014-02-07 08:00:00,2014-02-07 17:00:00,Employee A,558.56
20,1.2.2.5,end of design,0.0,0.0,0.0,2014-02-10 17:00:00,2014-02-10 17:00:00,,0.0
184,1.3,build,138.083333333333,136.7,139.46,2013-12-27 15:00:00,2014-05-14 17:00:00,,178453.6384
32,1.3.1,weekly file,68.0833333333333,67.4,68.76,2014-01-02 15:00:00,2014-03-11 17:00:00,,19499.28
23,1.3.1.1,build/technical design,7.0,5.6,8.4,2014-01-02 15:00:00,2014-01-09 15:00:00,Employee G[0.60 #1],1806.72
24,1.3.1.2,ABAP,13.0,10.4,15.6,2014-01-09 15:00:00,2014-01-22 15:00:00,ABAP,6750.0
