node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Railway Bridge (5),282.375,279.55,285.2,2014-11-03 07:00:00,2015-08-12 16:00:00,,832497.460449219
1,1.1,Voorbereidende werken afbraak,4.375,3.5,8.75,2014-11-03 07:00:00,2014-11-07 16:00:00,,27873.44921875
2,1.2,Afbraak,1.375,1.36,1.39,2014-11-08 07:00:00,2014-11-09 16:00:00,,64976.73046875
3,1.3,Voorbereiding werkplatform spoor A,4.375,3.5,8.75,2014-11-10 07:00:00,2014-11-14 16:00:00,,11743.0
4,1.4,Installatie paalfunderingen,1.375,1.1,2.75,2014-11-17 07:00:00,2014-11-18 16:00:00,,27354.2890625
5,1.5,Boren paalfundering spoor A,13.375,10.7,16.05,2014-11-19 07:00:00,2014-12-02 16:00:00,,52234.640625
6,1.6,Voorbereiding werkplatform spoor B,9.375,7.5,18.75,2014-11-17 07:00:00,2014-11-26 16:00:00,,13616.8798828125
7,1.7,Boren paalfundering spoor B,13.375,10.7,16.05,2014-12-03 07:00:00,2014-12-16 16:00:00,,49542.12890625
8,1.8,Grachtelementen A,2.375,1.9,2.85,2014-12-03 07:00:00,2014-12-05 16:00:00,,5918.28002929688
9,1.9,Plaatsen schanskorven A,8.375,6.7,10.05,2014-12-08 07:00:00,2014-12-16 16:00:00,,9004.6298828125
10,1.10,Zuiveringsbeton spoor A,0.375,0.37,0.38,2014-12-17 07:00:00,2014-12-17 16:00:00,,3180.75
11,1.11,Grachtelementen B,18.375,14.7,22.05,2014-12-18 07:00:00,2015-01-05 16:00:00,,5598.3701171875
12,1.12,Schanskorven B,8.375,6.7,10.05,2015-01-06 07:00:00,2015-01-14 16:00:00,,8013.2900390625
13,1.13,Zuiveringsbeton B,0.375,0.37,0.38,2015-01-15 07:00:00,2015-01-15 16:00:00,,2365.84997558594
14,1.14,Betonneren palen A,1.375,0.69,1.65,2014-12-18 07:00:00,2014-12-19 16:00:00,,60312.16015625
15,1.15,Funderingszool A,4.375,3.5,8.75,2015-01-05 07:00:00,2015-01-09 16:00:00,,13805.8100585938
16,1.16,Betonneren palen B,3.375,1.69,4.05,2015-01-16 07:00:00,2015-01-19 16:00:00,,51696.140625
17,1.17,Funderingszool B,6.375,5.1,12.75,2015-01-20 07:00:00,2015-01-26 16:00:00,,16027.4404296875
33,1.18,Boog fase 1,15.375,15.22,15.53,2015-02-03 07:00:00,2015-02-18 16:00:00,,66669.5400390625
18,1.18.1,Plaatsen bekisting,2.375,1.9,4.75,2015-02-03 07:00:00,2015-02-05 16:00:00,,15822.7197265625
19,1.18.2,Wapenen,11.375,9.1,13.65,2015-02-06 07:00:00,2015-02-17 16:00:00,,27586.240234375
20,1.18.3,Betonneren,0.375,0.37,0.38,2015-02-18 07:00:00,2015-02-18 16:00:00,,23260.580078125
34,1.19,Boog fase 2,34.375,34.03,34.72,2015-03-05 07:00:00,2015-04-08 16:00:00,,61991.1687011719
21,1.19.1,Verplaatsen bekisting,6.375,5.1,7.65,2015-03-05 07:00:00,2015-03-11 16:00:00,,6572.80004882813
22,1.19.2,Wapenen,11.375,9.1,13.65,2015-03-12 07:00:00,2015-03-23 16:00:00,,21352.8095703125
23,1.19.3,Betonneren,0.375,0.37,0.38,2015-03-24 07:00:00,2015-03-24 16:00:00,,25892.69921875
24,1.19.4,Ontkisten,0.375,0.3,0.45,2015-04-08 07:00:00,2015-04-08 16:00:00,,8172.85986328125
25,1.20,Wanden fase 1,34.375,27.5,41.25,2015-03-12 07:00:00,2015-04-15 16:00:00,,30149.01953125
26,1.21,Wanden fase 2,34.375,27.5,41.25,2015-04-09 07:00:00,2015-05-13 16:00:00,,27290.0595703125
27,1.22,Waterdichting,13.375,10.7,26.75,2015-05-14 07:00:00,2015-05-27 16:00:00,,46152.9609375
28,1.23,Aanvullen,6.375,5.1,7.65,2015-05-28 07:00:00,2015-06-03 16:00:00,,36216.3203125
29,1.24,Wegenis,41.375,33.1,82.75,2015-06-04 07:00:00,2015-07-15 16:00:00,,52980.400390625
30,1.25,Metselwerk fase 1,20.375,16.3,24.45,2015-04-16 07:00:00,2015-05-06 16:00:00,,7160.58996582031
31,1.26,Metselwerk fase 2,20.375,16.3,24.45,2015-05-07 07:00:00,2015-05-27 16:00:00,,8281.2099609375
32,1.27,Afwerkingen,27.375,21.9,54.75,2015-07-16 07:00:00,2015-08-12 16:00:00,,72342.3515625
