node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3,1.1.1,ALQUILER DE ALMACEN Y OFICINAS PROVISIONALES,5.0,0.5,4.5,2021-08-01 00:00:00,nan,"carpenter [1,00 #8]",
4,1.1.2,CARTEL DE IDENTIFICACION DE LA OBRA DE 3.60X2.40M,1.0,0.5,1.5,2021-08-01 00:00:00,nan,"plumber [1,00 #8]",
5,1.1.3,SS.HH. PROVISIONALES,5.0,1.0,4.0,2021-08-01 00:00:00,nan,"plumber [1,00 #8]",
7,1.2.1,DEMOLICION DE VEREDAS EXISTENTES,10.0,7.0,13.0,2021-08-02 00:00:00,nan,"plumber [1,00 #8]",
8,1.2.2,DEMOLICION DE PAVIMENTO CONCRETO HIDRAULICO EXISTENTE (E=20 CM),12.0,9.6,19.2,2021-08-02 00:00:00,nan,"carpenter [1,00 #8]",
9,1.2.3,ELIMINACION DE MATERIAL EXCEDENTE CON MAQUINARIA (D. PROM.= 8 Km.),7.0,2.8,7.0,2021-08-07 00:00:00,nan,"carpenter [1,00 #8]",
10,1.2.4,MOVILIZACION Y DESMOVILIZACION DE MAQUINARIA A OBRA,1.0,0.5,1.5,2021-08-01 00:00:00,nan,"plumber [1,00 #8]",
11,1.2.5,"TRAZO, NIVELES Y REPLANTEO PRELIMINAR VIA PRINCIPAL",4.0,0.8,2.4,2021-08-01 00:00:00,nan,"team subcontractor[2,00 #8]",
12,1.2.6,"TRAZO, NIVELES Y REPLANTEO DURANTE LA CONSTRUSSION",22.0,3.52,6.16,2021-08-02 00:00:00,nan,"team subcontractor[2,00 #8]",
15,1.3.1.1,CORTE DE MATERIAL A NIVEL DE SUB-RASANTE,2.0,1.0,3.0,2021-09-30 00:00:00,nan,painter,
16,1.3.1.2,RELLENO COMPACTADO CON MATERIAL PROPIO PARA NIVELAR SUBRASANTE,1.0,0.5,1.5,2021-10-02 00:00:00,nan,"plumber [1,00 #8]",
17,1.3.1.3,COMPACTACION Y CONFORMACION DE SUB-RASANTE,3.0,0.3,1.5,2021-10-02 00:00:00,nan,"plumber [1,00 #8]",
18,1.3.1.4,ELIMINACION DE MATERIAL EXCEDENTE CON MAQUINARIA (D. PROM.= 8 Km.),3.0,0.15,1.65,2021-10-03 00:00:00,nan,"plumber [1,00 #8]",
20,1.3.2.1,SUB BASE GRANULAR  DE 0.15 M.,6.0,2.4,4.8,2021-10-05 00:00:00,nan,"carpenter [1,00 #8]",
21,1.3.2.2,ENCOFRADO Y DESENCOFRADO LOSA DE CONCRETO,25.0,20.0,30.0,2021-10-11 00:00:00,nan,mason,
22,1.3.2.3,PAVIMENTO DE CONCRETO F'C= 210 KG/CM2 E=0.20 m.,20.0,10.0,30.0,2021-10-15 00:00:00,nan,painter,
23,1.3.2.4,"ACERO CORRUGADO DE 1/2"" (BASTONES EN JUNTAS)",17.0,8.5,20.4,2021-10-15 00:00:00,nan,painter,
24,1.3.2.5,"ACERO LISO DE 1 1/4"" (BASTONES EN JUNTAS) - TRANSVERSALES",17.0,10.2,18.7,2021-10-15 00:00:00,nan,"carpenter [1,00 #8]",
25,1.3.2.6,CURADO DE LOSA CON ADITIVO,7.0,3.5,6.3,2021-11-09 00:00:00,nan,"carpenter [1,00 #8]",
27,1.3.3.1,RELLENO DE JUNTAS DE PAVIMENTACION E=6 MM (JUNTA TIPO 01),4.0,2.0,6.0,2021-11-05 00:00:00,nan,"carpenter [1,00 #8]",
28,1.3.3.2,RELLENO DE JUNTAS DE PAVIMENTO CON SELLADOR ELASTOMÉRICO DE POLIURETANO  (JUNTA TIPO 02),6.0,3.0,9.0,2021-11-05 00:00:00,nan,"carpenter [1,00 #8]",
29,1.3.3.3,RELLENO DE JUNTAS DE PAVIMENTACION E=12 MM (JUNTA TIPO 03 Y 04),9.0,4.5,11.7,2021-11-05 00:00:00,nan,"carpenter [1,00 #8]",
31,1.3.4.1,EXCAVACION PARA ESTRUCTURAS EN MATERIAL SUELTO,16.0,9.6,16.0,2021-10-12 00:00:00,nan,"team subcontractor[1,00 #8]",
32,1.3.4.2,"NIVELACION, REFINE Y COMPACTACION MANUAL",7.0,3.5,6.3,2021-10-23 00:00:00,nan,"mason [2,00 #8]",
33,1.3.4.3,CONCRETO F'C.= 175 KG/CM2. EN CUNETAS,12.0,12.0,16.8,2021-10-30 00:00:00,nan,"team subcontractor[1,00 #8]",
34,1.3.4.4,ENCOFRADO Y DESENCOFRADO EN CUNETAS,14.0,14.0,25.2,2021-10-29 00:00:00,nan,"team subcontractor[1,00 #8]",
35,1.3.4.5,JUNTAS EN CUNETA CON WATERSTOP C/ RELLENO ASFALTO,8.0,4.0,8.8,2021-11-12 00:00:00,nan,"carpenter [1,00 #8]",
36,1.3.4.6,RELLENO DE JUNTAS DE PAVIMENTACION E=12 MM,7.0,2.8,7.0,2021-11-14 00:00:00,nan,"mason [2,00 #8]",
37,1.3.4.7,CURADO EN CUNETAS CON ADITIVO,7.0,3.5,6.3,2021-11-17 00:00:00,nan,"carpenter [1,00 #8]",
39,1.3.5.1,PINTADO DE SEÑALIZACION DE TRANSITO VEHICULAR COLOR BLANCO,7.0,3.5,6.3,2021-11-05 00:00:00,nan,"steel worker [2,00 #8]",
40,1.3.5.2,"SEÑALES PREVENTIVAS SEGUN DISEÑO INCLUYE PANELES, PARANTES E INSTALACION.",3.0,0.6,3.0,2021-11-12 00:00:00,nan,"steel worker [2,00 #8]",
41,1.3.5.3,"SEÑALES REGULADORAS SEGUN DISEÑO INCLUYE PANELES, PARANTES E NSTALACION.",3.0,0.6,4.2,2021-11-14 00:00:00,nan,mason,
42,1.3.5.4,"SEÑALES INFORMATIVA SEGUN DISEÑO INCLUYE PANELES, PARANTES E INSTALACION.",2.0,0.5,4.5,2021-11-14 00:00:00,nan,mason,
44,1.3.6.1,EXCAVACION PARA ESTRUCTURAS EN MATERIAL SUELTO,25.0,10.0,17.5,2021-10-22 00:00:00,nan,"carpenter [1,00 #8]",
45,1.3.6.2,EXTENDIDO Y NIVELACION  EN VEREDAS E=0.10 m.,10.0,3.0,15.0,2021-11-06 00:00:00,nan,"carpenter [1,00 #8]",
46,1.3.6.3,"CONCRETO SIMPLE F'C=175 KG/CM2 EN VEREDAS e=4"" (INC. ACABADO)",15.0,13.5,27.0,2021-11-14 00:00:00,nan,"steel worker [1,00 #8]",
47,1.3.6.4,ESTAMPADO EN VEREDA,15.0,15.0,37.5,2021-11-14 00:00:00,nan,"steel worker [1,00 #8]",
48,1.3.6.5,ENCOFRADO Y DESENCOFRADO DE VEREDAS,20.0,8.0,35.0,2021-11-11 00:00:00,nan,"steel worker [1,00 #8]",
49,1.3.6.6,CURADO DE CONCRETO EN VEREDA,2.0,0.5,5.0,2021-11-28 00:00:00,nan,"mason [2,00 #8]",
50,1.3.6.7,RELLENO DE JUNTAS EN VEREDAS E=12 MM,2.0,1.0,3.0,2021-12-01 00:00:00,nan,"carpenter [1,00 #8]",
52,1.3.7.1,EXCAVACION PARA ESTRUCTURAS EN MATERIAL SUELTO,11.0,5.5,22.0,2021-11-05 00:00:00,nan,"carpenter [1,00 #8]",
53,1.3.7.2,EXTENDIDO Y NIVELACION  EN SARDINEL  E=0.15 m.,2.0,0.5,5.0,2021-11-14 00:00:00,nan,"carpenter [1,00 #8]",
54,1.3.7.3,ENCOFRADO Y DESENCOFRADO EN SARDINEL,18.0,9.0,25.2,2021-11-09 00:00:00,nan,"carpenter [1,00 #8]",
55,1.3.7.4,CONCRETO F'c = 175 Kg/cm2 EN SARDINEL,13.0,9.1,20.8,2021-11-12 00:00:00,nan,mason,
56,1.3.7.5,CURADO DE CONCRETO EN SARDINEL,2.0,0.5,6.0,2021-11-27 00:00:00,nan,"carpenter [1,00 #8]",
57,1.3.7.6,PINTURA EN SARDINEL,7.0,3.5,6.3,2021-11-27 00:00:00,nan,"steel worker [1,00 #8]",
59,1.3.8.1,EXCAVACION PARA ESTRUCTURAS EN MATERIAL SUELTO,2.0,1.0,3.0,2021-11-14 00:00:00,nan,painter,
60,1.3.8.2,EXTENDIDO Y NIVELACION  EN RAMPA S E=0.10 m.,2.0,0.5,7.0,2021-11-14 00:00:00,nan,painter,
61,1.3.8.3,ENCOFRADO Y DESENCOFRADO EN RAMPA,2.0,1.0,3.0,2021-11-29 00:00:00,nan,painter,
62,1.3.8.4,CONCRETO F'c = 175 Kg/cm2 EN RAMPAS,2.0,0.5,7.0,2021-11-27 00:00:00,nan,painter,
63,1.3.8.5,CURADO DE CONCRETO EN RAMPAS,2.0,0.5,7.0,2021-11-29 00:00:00,nan,painter,
65,1.3.9.1,REPARACION DE DEFICIENCIAS EN EL PAVIMENTO,1.0,0.25,1.5,2021-11-05 00:00:00,nan,"steel worker [1,00 #8]",
66,1.3.9.2,CONCRETO F'C=175 KG/CM2 EN BASE DE PAPELERA,2.0,1.0,3.0,2021-11-28 00:00:00,nan,"team subcontractor[1,00 #8]",
67,1.3.9.3,PAPELERA BASCULANTE DE FIBRA DE VIDRIO,2.0,0.5,6.0,2021-11-30 00:00:00,nan,"team subcontractor[1,00 #8]",
