node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
6,1.2.1.1.1,"OFICINA, ALMACEN Y CASETA D/GUARDIANIA",1.0,0.5,2.0,2021-03-22 08:00:00,nan,"plumber [1,00 #8]",
7,1.2.1.1.2,CARTEL DE IDENTIFICACION DE OBRA 3.60mX2.40m,1.0,0.5,1.5,2021-03-23 08:00:00,nan,"carpenter [1,00 #8]",
8,1.2.1.1.3,CERCO PROVISIONAL MALLA ARPÍLLERA,2.0,1.0,3.0,2021-03-23 08:00:00,nan,"steel worker [2,00 #8]",
9,1.2.1.1.4,AGUA PARA LA CONSTRUSSION,1.0,0.5,1.5,2021-03-23 08:00:00,nan,"carpenter [1,00 #8]",
10,1.2.1.1.5,ENERGIA ELECTRICA PARA LA CONSTRUSSION,2.0,1.0,3.0,2021-03-23 08:00:00,nan,"steel worker [2,00 #8]",
12,1.2.1.2.1,TRANSPORTE DE EQUIPO Y HERRAMIENTAS,1.0,0.5,1.5,2021-03-23 08:00:00,nan,"carpenter [1,00 #8]",
13,1.2.1.2.2,"TRAZO, NIVELACION Y REPLANTEO",1.0,0.5,1.5,2021-03-22 08:00:00,nan,painter,
14,1.2.1.2.3,ELABORACION DEL PLAN DE SEGURIDAD Y SALUD EN EL TRABAJO,1.0,0.5,1.5,2021-03-22 08:00:00,nan,"carpenter [1,00 #8]",
15,1.2.1.2.4,SERVICIOS HIGIENICOS PARA LA OBRA-BAÑOS QUIMICOS,3.0,2.0,4.0,2021-03-22 08:00:00,nan,painter,
17,1.2.1.3.1,EQUIPO DE PROTESSION INDIVIDUAL,1.0,0.5,1.5,2021-03-22 08:00:00,nan,"carpenter [1,00 #8]",
18,1.2.1.3.2,EQUIPOS DE PROTESSION COLECTIVA,1.0,0.5,1.5,2021-03-22 08:00:00,nan,mason,
19,1.2.1.3.3,SEÑALIZACION TEMPORAL DE SEGURIDAD,1.0,0.5,1.5,2021-03-22 08:00:00,nan,"carpenter [1,00 #8]",
22,1.2.1.4.1.1,LAVADERO DE MANOS PORTATIL,1.0,0.5,1.5,2021-03-22 08:00:00,nan,"carpenter [1,00 #8]",
24,1.2.1.4.2.1,"ELABORACION PLAN DE VIGILANCIA, PREVENCION Y CONTROL COVID-19 EN EL TRABAJO",1.0,0.5,1.5,2021-03-22 08:00:00,nan,"carpenter [1,00 #8]",
25,1.2.1.4.2.2,EQUIPOS COMPLEMENTARIOS DE PROTESSION INDIVIDUAL - COVID 19,1.0,0.5,1.5,2021-03-22 08:00:00,nan,"plumber [1,00 #8]",
26,1.2.1.4.2.3,EQUIPOS COMPLEMENTARIOS DE PROTESSION COLECTIVA - COVID 19,1.0,0.5,1.5,2021-03-22 08:00:00,nan,"steel worker [2,00 #8]",
27,1.2.1.4.2.4,LIMPIEZA PERMANENTE Y DESINFESSIÓN,1.0,0.5,1.5,2021-03-22 08:00:00,nan,"carpenter [1,00 #8]",
28,1.2.1.4.2.5,SERVICIOS COMPLEMENTARIOS EXAMEN PRUEBA COVID-19,1.0,0.5,1.5,2021-03-23 08:00:00,nan,"steel worker [1,00 #8]",
29,1.2.1.4.2.6,MANEJO DE RESIDUOS SOLIDOS BIO CONTAMINANTES FRENTE A COVID-19,1.0,0.5,1.5,2021-03-22 08:00:00,nan,mason,
31,1.2.1.4.3.1,ELABORACION DE PLAN DE MITIGACION DE IMPACTO AMBIENTAL,1.0,0.5,1.5,2021-03-22 08:00:00,nan,"mason [2,00 #8]",
34,1.2.2.1.1,EXCAVACION DE ZANJAS PARA SARDINEL (MANUAL),2.0,1.0,3.0,2021-03-23 08:00:00,nan,"plumber [1,00 #8]",
35,1.2.2.1.2,ACARREO MANUAL DE DESMONTE,2.0,1.0,3.0,2021-03-25 08:00:00,nan,"carpenter [1,00 #8]",
36,1.2.2.1.3,ELIMINACION DE DESMONTE Y DESPERDICIOS,1.0,0.5,1.5,2021-03-27 08:00:00,nan,"steel worker [2,00 #8]",
38,1.2.2.2.1,ENCOFRADO PARA SARDINEL,3.0,2.01,3.99,2021-03-25 08:00:00,nan,"carpenter [1,00 #8]",
39,1.2.2.2.2,SARDINEL DE CONCRETO f'c=175 kg/cm2,1.0,0.5,2.0,2021-03-29 08:00:00,nan,"steel worker [2,00 #8]",
41,1.2.2.3.1,"FABRICACION E INSTALACION DE CERCO PERIMETRICO, INCLUYE PINTADO",6.0,4.98,7.98,2021-03-29 08:00:00,nan,mason,
42,1.2.2.3.2,PUERTA METALICA INC.  COLOCACION Y PINTADO,6.0,4.02,9.0,2021-04-05 08:00:00,nan,mason,
44,1.2.2.4.1,PINTURA ESMALTE EN SARDINEL DE CONCRETO,7.0,4.97,9.03,2021-03-30 08:00:00,nan,"steel worker [2,00 #8]",
45,1.2.2.4.2,"JUNTAS ASFALTICAS CON TECKNOPORT E=1""",1.0,0.5,1.5,2021-04-30 08:00:00,nan,"carpenter [1,00 #8]",
48,1.2.3.1.1,DEMOLICION DE CONCRETO EN PISOS Y BANCAS,7.0,3.01,11.97,2021-03-23 08:00:00,nan,"steel worker [1,00 #8]",
49,1.2.3.1.2,ELIMINACION DE MATERIAL EXCEDENTE PROVENIENTE DE DEMOLICIONES,1.0,0.5,1.5,2021-03-31 08:00:00,nan,"steel worker [1,00 #8]",
51,1.2.3.2.1,EXCAVACION MANUAL EN TERRENO NORMAL,1.0,0.5,1.5,2021-03-31 08:00:00,nan,"team subcontractor[1,00 #8]",
