node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
4,1.1.1.1,CARTEL DE OBRA,1.0,0.5,1.5,2023-09-01 00:00:00,nan,"carpenter [1,00 #8]",
5,1.1.1.2,"ALQUILER DE ALMACEN, OFICINA Y CASETA DE GUARDIANIA",1.0,0.5,1.5,2023-09-01 00:00:00,nan,"plumber [1,00 #8]",
6,1.1.1.3,LIMPIEZA DE TERRENO MANUAL,1.0,0.5,1.5,2023-09-01 00:00:00,nan,"plumber [1,00 #8]",
7,1.1.1.4,"TRAZO, NIVELACION Y REPLANTEO PRELIMINAR",1.0,0.5,1.5,2023-09-02 00:00:00,nan,"plumber [1,00 #8]",
8,1.1.1.5,MOVILIZACION Y DESMOVILIZACION DE EQUIPOS,1.0,0.5,1.5,2023-09-03 00:00:00,nan,"plumber [1,00 #8]",
10,1.1.2.1,RECURSOS PARA RESPUESTAS ANTE EMERGENCIAS EN SEGURIDAD Y SALUD DURANTE EL TRABAJO,1.0,0.5,1.5,2023-09-02 00:00:00,nan,"carpenter [1,00 #8]",
11,1.1.2.2,EQUIPOS DE PROTESSION INDIVIDUAL,1.0,0.5,1.5,2023-09-02 00:00:00,nan,"plumber [1,00 #8]",
12,1.1.2.3,CAPACITACION EN SEGURIDAD Y SALUD,60.0,40.2,79.8,2023-09-01 00:00:00,nan,"team subcontractor[2,00 #8]",
13,1.1.2.4,"ELABORACION, IMPLEMENTACION Y ADMINISTRACION DEL PLAN DE SEGURIDAD Y SALUD EN EL TRABAJO",1.0,0.5,1.5,2023-09-01 00:00:00,nan,"team subcontractor[2,00 #8]",
15,1.1.3.1,EXCAVACION PARA CIMIENTO CORRIDO HASTA 0.55M DE PROFUNDIDAD EN TERRENO NORMAL,3.0,0.99,5.01,2023-09-03 00:00:00,nan,"plumber [1,00 #8]",
16,1.1.3.2,EXCAVACION PARA ZAPATAS DE 1.00m A 1.90m DE PROFUNDIDAD EN TERRENO NORMAL,3.0,0.99,5.01,2023-09-03 00:00:00,nan,painter,
17,1.1.3.3,RELLENO Y COMPACTADO CON MATERIAL PROPIO A MANO,1.0,0.5,1.5,2023-09-06 00:00:00,nan,"plumber [1,00 #8]",
18,1.1.3.4,"RELLENO Y COMPACTADO CON MATERIAL DE PRESTAMO E=4""",1.0,0.5,1.5,2023-09-06 00:00:00,nan,"plumber [1,00 #8]",
19,1.1.3.5,NIVELACION INTERIOR Y APISONADO CON EQUIPO,1.0,0.5,1.5,2023-09-07 00:00:00,nan,"plumber [1,00 #8]",
20,1.1.3.6,ACARREO DE MATERIAL EXCEDENTE DM=30M.,1.0,0.5,1.5,2023-09-07 00:00:00,nan,"plumber [1,00 #8]",
21,1.1.3.7,ELIMINACION DE MATERIAL EXCEDENTE CON EQUIPO PESADO DIST. = 2.5KM,2.0,1.0,3.0,2023-09-07 00:00:00,nan,"carpenter [1,00 #8]",
23,1.1.4.1,"SOLADODE CONCETO C:H 1:12, E=4"", PARA ZAPATAS",1.0,0.5,1.5,2023-09-06 00:00:00,nan,welder,
24,1.1.4.2,CONCRETO PARA CIMIENTOS CORRIDOS C:H-1:10 + 30% P.G.,1.0,0.5,1.5,2023-09-06 00:00:00,nan,painter,
25,1.1.4.3,ENCOFRADO Y DESENCOFRADO SOBRE CIMIENTOS,4.0,2.0,6.0,2023-09-07 00:00:00,nan,"carpenter [1,00 #8]",
