node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Castelein,262.3333333332994,259.71,264.96,2018-08-31 09:00:00,2019-05-20 17:00:00,,1480224.70113281
1,1.1,Contract Asignment,0.33333333329937886,0.33,0.34,2018-08-31 09:00:00,2018-08-31 17:00:00,,0.0
2,1.2,Construction Permit,0.33333333329937886,0.33,0.34,2018-09-03 09:00:00,2018-09-03 17:00:00,,0.00999999977648258
3,1.3,Study,21.33333333329938,18.1,27.62,2018-09-04 09:00:00,2018-09-25 17:00:00,,3650.0
4,1.4,Design of plan,28.33333333329938,22.74,38.16,2018-09-26 09:00:00,2018-10-24 17:00:00,,70199.0
5,1.5,Approval of plan,15.333333333299379,9.67,26.47,2018-10-25 09:00:00,2018-11-09 17:00:00,,0.00999999977648258
6,1.6,Design of production parts,25.33333333329938,23.89,26.78,2018-11-12 09:00:00,2018-12-07 17:00:00,,13500.0
7,1.7,Fabrication,39.33333333329938,31.47,47.2,2018-12-10 09:00:00,2019-01-18 17:00:00,,450000.0
8,1.8,Preparation of erea,24.33333333329938,21.22,29.27,2018-11-12 09:00:00,2018-12-06 17:00:00,,217090.0
9,1.9,Pile Foundation,33.33333333329938,21.77,30.61,2018-12-07 09:00:00,2019-01-09 17:00:00,Labour[4.00 #10];Pole machine,68997.66828125
10,1.1,Foundation,20.33333333329938,16.85,26.34,2019-01-10 09:00:00,2019-01-30 17:00:00,Labour[5.00 #10];X-crane,92307.6875
11,1.11,Assembly,35.33333333329938,32.42,42.32,2019-01-31 09:00:00,2019-03-07 17:00:00,Labour[10.00 #10];Assembly crane,28282.8
12,1.12,Finishing walls,6.333333333299379,5.07,7.6,2019-05-14 09:00:00,2019-05-20 17:00:00,Labour[6.00 #10],6000.00009765625
13,1.13,Roof,28.33333333329938,24.86,31.8,2019-03-08 09:00:00,2019-04-05 17:00:00,Labour[8.00 #10];Scissor lift,116000.0009375
14,1.14,Floor,4.333333333299379,3.47,5.2,2019-04-08 09:00:00,2019-04-12 17:00:00,Labour[10.00 #10];Telehandler;Concrete pump and mixer,140500.0
15,1.15,Gates,13.333333333299379,13.2,13.47,2019-05-07 09:00:00,2019-05-20 17:00:00,Labour[4.00 #10];Scissor lift,23000.00078125
16,1.16,Masonry,4.333333333299379,3.47,5.2,2019-04-15 09:00:00,2019-04-19 17:00:00,Labour[6.00 #10];Telehandler,9700.00009765625
17,1.17,Exterior Joinery,14.333333333299379,11.91,16.75,2019-04-22 09:00:00,2019-05-06 17:00:00,Labour[6.00 #10];Scissor lift,86860.0034375
18,1.18,Drying floor and installing racks,28.33333333329938,28.05,28.62,2019-04-15 09:00:00,2019-05-13 17:00:00,Labour[4.00 #10],9137.52
19,1.19,MEP,25.33333333329938,23.16,27.5,2019-04-15 09:00:00,2019-05-10 17:00:00,Other labour[8.00 #8],145000.0
20,1.2,End of project,0.0,0.0,0.0,2019-05-20 17:00:00,2019-05-20 17:00:00,,0.0
