node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project Management Assignment,445.0416666667006,440.59,449.49,2018-01-08 08:00:00,2019-03-29 09:00:00,,0
54,1.1,Placing fences around site,0.33333333340124227,0.33,0.34,2018-01-08 08:00:00,2018-01-08 16:00:00,Workers on site[2.00 #6],0
2,1.2,Demolition of building,22.041666666598758,21.82,22.26,2018-01-08 16:00:00,2018-01-30 17:00:00,Workers on site[5.00 #6],0
3,1.3,Excavation works,6.291666666700621,6.23,6.35,2018-01-31 08:00:00,2018-02-06 15:00:00,Workers on site[3.00 #6],0
4,1.4,Basement Floor,1.75,1.73,1.77,2018-02-06 15:00:00,2018-02-08 09:00:00,Workers on site[4.00 #6],0
5,1.5,Basement Walls,2.041666666700621,2.02,2.06,2018-02-12 09:00:00,2018-02-14 10:00:00,Workers on site[4.00 #6],0
6,1.6,Construction Ground Level,28.041666666598758,27.76,28.32,2018-02-14 10:00:00,2018-03-14 11:00:00,Workers on site[4.00 #6],0
7,1.7,Construction First Floor,15.166666666700621,15.02,15.32,2018-03-14 11:00:00,2018-03-29 15:00:00,Workers on site[4.00 #6],0
8,1.8,Measuring Windows,0.33333333340124227,0.33,0.34,2018-04-16 08:00:00,2018-04-16 16:00:00,Workers on site,0
9,1.9,Placing Windows,5.75,5.69,5.81,2018-06-14 16:00:00,2018-06-20 10:00:00,Workers on site[3.00 #6],0
10,1.1,Placing Interior Glass walls,5.041666666598758,4.99,5.09,2018-04-25 10:00:00,2018-04-30 11:00:00,Workers on site[3.00 #6],0
11,1.11,Contacting Exterior Carpenter Firm,0.04166666659875773,0.04,0.04,2018-04-30 16:00:00,2018-04-30 17:00:00,Workers on site,0
12,1.12,Contacting Interior Design Firm,0.04166666659875773,0.04,0.04,2018-06-20 10:00:00,2018-06-20 11:00:00,Workers on site,0
13,1.13,Roof Carpentry,10.75,8.6,12.9,2018-03-29 15:00:00,2018-04-09 09:00:00,Workers on site[2.00 #6],0
14,1.14,Roofing and Pitched Roof,15.208333333299379,15.06,15.36,2018-04-09 09:00:00,2018-04-24 14:00:00,Workers on site[3.00 #6],0
15,1.15,Measuring Exterior Carpentry,1.375,1.36,1.39,2018-05-02 08:00:00,2018-05-03 17:00:00,Workers on site,0
16,1.16,Meeting Technicians,0.041666666700621136,0.04,0.04,2018-04-24 14:00:00,2018-04-24 15:00:00,Workers on site[6.00 #6],0
53,1.17,Air Treatment,14.041666666598758,13.9,14.18,2018-05-11 16:00:00,2018-05-25 17:00:00,Workers on site[4.00 #6],0
17,1.18,Electricity,17.04166666670062,16.87,17.21,2018-04-24 15:00:00,2018-05-11 16:00:00,Workers on site[2.00 #6],0
18,1.19,Plumbing,8.041666666700621,7.96,8.12,2018-04-30 11:00:00,2018-05-08 12:00:00,Workers on site[2.00 #6],0
19,1.2,Ventilation,3.125,3.09,3.16,2018-05-08 13:00:00,2018-05-11 16:00:00,Workers on site[3.00 #6],0
20,1.21,Solar Panels,0.375,0.37,0.38,2018-06-12 08:00:00,2018-06-12 17:00:00,Workers on site[3.00 #6],0
21,1.22,Placing Exterior Carpentry,14.166666666598758,14.02,14.31,2018-06-20 10:00:00,2018-07-04 14:00:00,Workers on site[2.00 #6],0
22,1.23,PUR Isolation,8.166666666700621,8.09,8.25,2018-05-28 08:00:00,2018-06-05 12:00:00,Workers on site[3.00 #6],0
23,1.24,Screed (Chape),7.125,7.05,7.2,2018-06-07 13:00:00,2018-06-14 16:00:00,Workers on site[2.00 #6],0
24,1.25,Isolation Walls,7.958333333299379,7.88,8.04,2018-07-05 16:00:00,2018-07-13 15:00:00,Workers on site[3.00 #6],0
25,1.26,Plaster,47.0,46.53,47.47,2018-07-13 15:00:00,2018-08-29 15:00:00,Workers on site[3.00 #6],0
26,1.27,Measuring interior design + fire resistance,1.0,0.99,1.01,2018-09-12 15:00:00,2018-09-13 15:00:00,Workers on site,0
27,1.28,Floorworks,21.04166666670062,20.83,21.25,2018-09-18 14:00:00,2018-10-09 15:00:00,Workers on site[3.00 #6],0
28,1.29,Placing Stucco,14.208333333401242,14.07,14.35,2018-05-28 11:00:00,2018-06-11 16:00:00,Workers on site[2.00 #6],0
29,1.3,Placing fire resistant door,1.0,0.99,1.01,2018-10-25 15:00:00,2018-10-26 15:00:00,Workers on site[3.00 #6],0
30,1.31,Construction Parking lot,48.0,47.52,48.48,2018-07-04 14:00:00,2018-08-21 14:00:00,Workers on site[2.00 #6],0
31,1.32,Contacting Company parapet,0.041666666700621136,0.04,0.04,2018-10-16 11:00:00,2018-10-16 12:00:00,Workers on site,0
32,1.33,Placing saves in basement through elevator hole,2.0,1.98,2.02,2018-10-17 10:00:00,2018-10-19 10:00:00,Workers on site[3.00 #6],0
