node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,The Project,298.375,295.39,301.36,2019-06-03 08:00:00,2020-03-27 17:00:00,,262500
42,1.1,Initiation,151.375,149.86,152.89,2019-06-03 08:00:00,2019-11-01 17:00:00,,60000
1,1.1.1,Define the Need,11.375,9.1,13.65,2019-06-03 08:00:00,2019-06-14 17:00:00,,1000
2,1.1.2,Determine the Building Site,11.375,9.1,13.65,2019-06-17 08:00:00,2019-06-28 17:00:00,,5000
3,1.1.3,Analysis of the Environment,8.375,6.7,10.05,2019-07-01 08:00:00,2019-07-09 17:00:00,,10000
4,1.1.4,Analysis of the Climate,11.375,9.1,13.65,2019-07-01 08:00:00,2019-07-12 17:00:00,,5000
5,1.1.5,Soil Testing,8.375,6.7,10.05,2019-07-01 08:00:00,2019-07-09 17:00:00,,10000
6,1.1.6,Estimation of the Building Cost,1.375,1.1,1.65,2019-07-15 08:00:00,2019-07-16 17:00:00,,2000
7,1.1.7,Obtain Financial Support: Grants & Investors,9.375,7.5,11.25,2019-07-17 08:00:00,2019-07-26 17:00:00,,1000
8,1.1.8,Create Architectural Design,23.375,18.7,28.05,2019-07-29 08:00:00,2019-08-21 17:00:00,,5000
9,1.1.9,Study of Stability,12.375,9.9,14.85,2019-08-22 08:00:00,2019-09-03 17:00:00,,5000
10,1.1.10,Study of Techniques,11.375,9.1,13.65,2019-08-22 08:00:00,2019-09-02 17:00:00,,5000
11,1.1.11,Study of Energy,15.375,12.3,18.45,2019-08-22 08:00:00,2019-09-06 17:00:00,,5000
12,1.1.12,Obtain Permits,28.375,22.7,34.05,2019-09-09 08:00:00,2019-10-07 17:00:00,,2000
13,1.1.13,Find Contractors,17.375,13.9,20.85,2019-10-08 08:00:00,2019-10-25 17:00:00,,1000
14,1.1.14,Find Suppliers of Raw Materials,10.375,8.3,12.45,2019-10-08 08:00:00,2019-10-18 17:00:00,,1000
15,1.1.15,Identify Tasks,2.375,1.9,2.85,2019-10-28 08:00:00,2019-10-30 17:00:00,,1000
16,1.1.16,Identify Resources,4.375,3.5,5.25,2019-10-28 08:00:00,2019-11-01 17:00:00,,1000
43,1.2,Planning,18.375,18.19,18.56,2019-10-21 08:00:00,2019-11-08 17:00:00,,4000
17,1.2.1,Assign the Responsibilities to the Contractors,2.375,1.9,2.85,2019-11-04 08:00:00,2019-11-06 17:00:00,,500
18,1.2.2,Assign the Responsibilities to the Suppliers,2.375,1.9,2.85,2019-11-04 08:00:00,2019-11-06 17:00:00,,500
19,1.2.3,Calculate the Cost of Labour,4.375,3.5,5.25,2019-10-28 08:00:00,2019-11-01 17:00:00,,1000
20,1.2.4,Calculate the Cost of Materials,1.375,1.1,1.65,2019-10-21 08:00:00,2019-10-22 17:00:00,,1000
21,1.2.5,Calculate the Time of Every Step in the Execution,1.375,1.1,1.65,2019-11-07 08:00:00,2019-11-08 17:00:00,,1000
44,1.3,Execution,136.375,135.01,137.74,2019-11-11 08:00:00,2020-03-26 17:00:00,,198000
22,1.3.1,Dewatering the Soil,18.375,14.7,22.05,2019-11-11 08:00:00,2019-11-29 17:00:00,,30000
23,1.3.2,Excavation Construction Pits,18.375,14.7,22.05,2019-12-02 08:00:00,2019-12-20 17:00:00,,50000
24,1.3.3,Place Reinforcing Steel,17.375,13.9,20.85,2019-12-23 08:00:00,2020-01-09 17:00:00,,10000
25,1.3.4,Place Underground Pipes,14.375,11.5,17.25,2020-01-10 08:00:00,2020-01-24 17:00:00,,10000
26,1.3.5,Pour Concrete for Foundation,14.375,11.5,17.25,2020-01-27 08:00:00,2020-02-10 17:00:00,,10000
46,1.3.6,Place Floor (with Insulation),6.375,5.1,7.65,2020-02-14 08:00:00,2020-02-20 17:00:00,,5000
28,1.3.7,Place Walls (with Insulation),13.375,10.7,16.05,2020-02-21 08:00:00,2020-03-05 17:00:00,,10000
29,1.3.8,Installation of Roof,6.375,5.1,7.65,2020-03-06 08:00:00,2020-03-12 17:00:00,,20000
30,1.3.9,Installation of Windows,3.375,2.7,4.05,2020-03-06 08:00:00,2020-03-09 17:00:00,,10000
31,1.3.10,Installation of Heating Elements,3.375,2.7,4.05,2020-03-13 08:00:00,2020-03-16 17:00:00,,10000
32,1.3.11,Installation of Electricity,4.375,3.5,5.25,2020-03-13 08:00:00,2020-03-17 17:00:00,,5000
33,1.3.12,Installation of Ventilation/AC,3.375,2.7,4.05,2020-03-13 08:00:00,2020-03-16 17:00:00,,5000
34,1.3.13,Installation of Lavatory,4.375,3.5,5.25,2020-03-13 08:00:00,2020-03-17 17:00:00,,5000
35,1.3.14,Paint the Walls,1.375,1.1,1.65,2020-03-18 08:00:00,2020-03-19 17:00:00,,2000
36,1.3.15,Place Furniture,0.375,0.3,0.45,2020-03-20 08:00:00,2020-03-20 17:00:00,,2000
37,1.3.16,Creation of the Garden,3.375,2.7,4.05,2020-03-23 08:00:00,2020-03-26 17:00:00,,5000
38,1.3.17,Creation of Playground,3.375,2.7,4.05,2020-03-23 08:00:00,2020-03-26 17:00:00,,2000
39,1.3.18,Creation of Fence,0.375,0.3,0.45,2020-03-23 08:00:00,2020-03-23 17:00:00,,2000
40,1.3.19,Creation of Waterpoint,0.375,0.3,0.45,2020-03-23 08:00:00,2020-03-23 17:00:00,,5000
45,1.4,Completion,0.375,0.37,0.38,2020-03-27 08:00:00,2020-03-27 17:00:00,,500
41,1.4.1,Communicate the Closure to the Stakeholders,0.375,0.3,0.45,2020-03-27 08:00:00,2020-03-27 17:00:00,,500
