node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
5,1.2.1.1,LIMPIEZA DE TERRENO,2.0,1.0,3.0,2022-05-01 00:00:00,nan,"carpenter [1,00 #8]",
6,1.2.1.2,TRAZADO Y REPLANTEO,2.0,1.0,3.0,2022-05-03 00:00:00,nan,"plumber [1,00 #8]",
7,1.2.1.3,EXCAVACIONES,5.0,2.5,7.5,2022-05-05 00:00:00,nan,"team subcontractor[2,00 #8]",
8,1.2.1.4,RELLENO CON MATERIAL PRESTAMO,2.0,1.0,3.0,2022-05-10 00:00:00,nan,"plumber [1,00 #8]",
9,1.2.1.5,NIVELADO Y COMPACTADO,2.0,1.0,3.0,2022-05-12 00:00:00,nan,painter,
12,1.2.1.6.1.1,EQUIPOS DE PROTESSION PERSONAL,60.0,30.0,90.0,2022-05-01 00:00:00,nan,"team subcontractor[2,00 #8]",
13,1.2.1.6.1.2,EQUIPOS DE PROTESSION COLECTIVO,60.0,30.0,90.0,2022-05-01 00:00:00,nan,"plumber [1,00 #8]",
14,1.2.1.6.1.3,SEÑALIZACION TEMPORAL DE SEGURIDAD,60.0,30.0,90.0,2022-05-01 00:00:00,nan,painter,
15,1.2.1.6.1.4,CAPACITACION EN SEGURIDAD Y SALUD,60.0,30.0,90.0,2022-05-01 00:00:00,nan,painter,
17,1.2.1.6.2.1,LIMPIEZA Y DESINFESSION DEL PERSONAL,60.0,30.0,90.0,2022-05-01 00:00:00,nan,"plumber [1,00 #8]",
18,1.2.1.6.2.2,"LIMPIEZA Y DESINFESSION DE AMBIENTES, EQUIPOS Y HERRAMIENTAS",60.0,30.0,90.0,2022-05-01 00:00:00,nan,"plumber [1,00 #8]",
21,1.2.2.1.1,CONCRETO SIMPLE PARA SOLADO h=10cm,1.0,0.5,1.5,2022-05-14 00:00:00,nan,"carpenter [1,00 #8]",
22,1.2.2.1.2,LOSA DE CONCRETO F'c=175kg/cm2,2.0,1.0,3.0,2022-05-15 00:00:00,nan,mason,
23,1.2.2.1.3,CONCRETO PARA UÑA DE LOSA,2.0,1.0,3.0,2022-05-17 00:00:00,nan,painter,
24,1.2.2.1.4,RAMPA Y DESCANZO DE CONCRETO,2.0,1.0,3.0,2022-05-19 00:00:00,nan,"plumber [1,00 #8]",
25,1.2.2.1.5,CONCRETO EN COLUMNETAS,2.0,1.0,3.0,2022-05-21 00:00:00,nan,"steel worker [1,00 #8]",
26,1.2.2.1.6,MAMPOSTERIA DE LADRILLO,2.0,1.0,3.0,2022-05-23 00:00:00,nan,"steel worker [1,00 #8]",
28,1.2.2.2.1,ESTRUCTURA DE ACERO LONGITUDINAL 1/2'',1.0,0.5,1.5,2022-06-06 00:00:00,nan,"carpenter [1,00 #8]",
29,1.2.2.2.2,ESTRUCTURA DE ACERO VERTICAL 1/2'' ESPARRAGO,2.0,1.0,3.0,2022-06-06 00:00:00,nan,"carpenter [1,00 #8]",
30,1.2.2.2.3,CARTELAS PARA CONESSION,12.0,6.0,18.0,2022-05-25 00:00:00,nan,"carpenter [1,00 #8]",
31,1.2.2.2.4,CANALETA EVAC AGUAS PLUVIALES C/ PLANCHA ACERO GALV. TIPO CALAMAINA,3.0,1.5,4.5,2022-05-01 00:00:00,nan,"steel worker [1,00 #8]",
32,1.2.2.2.5,BARANDA DE METAL,2.0,1.0,3.0,2022-05-01 00:00:00,nan,"team subcontractor[1,00 #8]",
34,1.2.2.3.1,POSTES 4'' x 4'',4.0,2.0,6.0,2022-05-25 00:00:00,nan,"mason [2,00 #8]",
35,1.2.2.3.2,MURO PANEL CIEGO 2.98x2.40,4.0,2.0,6.0,2022-05-29 00:00:00,nan,"team subcontractor[1,00 #8]",
36,1.2.2.3.3,MURO PANEL VENTANA 2.46x2.40,4.0,2.0,6.0,2022-06-02 00:00:00,nan,"carpenter [1,00 #8]",
37,1.2.2.3.4,MURO PANEL PUERTA 2.51x2.40,4.0,2.0,6.0,2022-06-06 00:00:00,nan,"mason [2,00 #8]",
38,1.2.2.3.5,VIGAS 4'' x 2.5'',5.0,2.5,7.5,2022-06-10 00:00:00,nan,"carpenter [1,00 #8]",
39,1.2.2.3.6,VIGUETAS 2'' x 4'',3.0,1.5,4.5,2022-06-15 00:00:00,nan,painter,
40,1.2.2.3.7,ENTABLADO DE TECHO,4.0,2.0,6.0,2022-06-18 00:00:00,nan,"steel worker [2,00 #8]",
41,1.2.2.3.8,BARNIZ 2 MANOS,8.0,4.0,12.0,2022-06-22 00:00:00,nan,"mason [2,00 #8]",
43,1.2.2.4.1,PISO DE CERAMICA Y/O PORCELANATO EN SALON,4.0,3.2,7.2,2022-06-22 00:00:00,nan,"carpenter [1,00 #8]",
44,1.2.2.4.2,CONTRAZOCALO h=30cm,2.0,1.6,3.6,2022-06-22 00:00:00,nan,painter,
45,1.2.2.4.3,RECUBRIMIENTO ALUZINC TR4 OPACO,2.0,1.6,3.6,2022-06-18 00:00:00,nan,mason,
46,1.2.2.4.4,VENTANAS (VIDRIO 6mm),1.0,0.8,1.8,2022-06-06 00:00:00,nan,"team subcontractor[1,00 #8]",
47,1.2.2.4.5,PUERTA APANELADA,2.0,1.6,3.6,2022-06-10 00:00:00,nan,"steel worker [1,00 #8]",
49,1.2.2.5.1,CENTRO DE LUZ,1.0,0.8,1.8,2022-06-22 00:00:00,nan,"steel worker [1,00 #8]",
50,1.2.2.5.2,SALIDA PARA TOMACORRIENTE,1.0,0.8,1.8,2022-06-02 00:00:00,nan,"steel worker [2,00 #8]",
51,1.2.2.5.3,TUBERIA 3/4 PARA ACOMETIDA,2.0,1.6,3.6,2022-06-02 00:00:00,nan,"carpenter [1,00 #8]",
52,1.2.2.5.4,INTERRUPTORES,2.0,1.6,3.6,2022-06-23 00:00:00,nan,painter,
53,1.2.2.5.5,LUMINARIAS,2.0,1.6,3.6,2022-06-23 00:00:00,nan,"carpenter [1,00 #8]",
54,1.2.2.5.6,TABLERO ELECTRICO,2.0,1.6,3.6,2022-06-23 00:00:00,nan,"carpenter [1,00 #8]",
55,1.2.2.5.7,POZO TIERRA (INCLUYE MANO DE OBRA),2.0,1.6,3.6,2022-06-23 00:00:00,nan,"carpenter [1,00 #8]",
57,1.2.2.6.1,MESA RECTANGULAR,1.0,0.2,1.2,2022-06-25 00:00:00,nan,"carpenter [1,00 #8]",
58,1.2.2.6.2,SILLAS,1.0,0.5,1.5,2022-06-25 00:00:00,nan,"steel worker [1,00 #8]",
59,1.2.2.6.3,ESCRITORIO,1.0,0.5,1.5,2022-06-25 00:00:00,nan,"steel worker [1,00 #8]",
60,1.2.2.6.4,ESTANTES,1.0,0.5,1.5,2022-06-25 00:00:00,nan,"carpenter [1,00 #8]",
61,1.2.2.6.5,PIZARRA 2.4mx1.20m,1.0,0.2,1.2,2022-06-25 00:00:00,nan,painter,
62,1.2.2.6.6,EXTINTOR DE INCENDIOS,1.0,0.5,1.5,2022-06-25 00:00:00,nan,"carpenter [1,00 #8]",
64,1.2.2.7.1,TRANSPORTE,1.0,0.2,1.2,2022-05-03 00:00:00,nan,"steel worker [1,00 #8]",
66,1.2.2.8.1,INSTALACION,1.0,0.2,1.2,2022-05-03 00:00:00,nan,"carpenter [1,00 #8]",
68,1.2.2.9.1,OTROS,1.0,0.5,1.5,2022-05-03 00:00:00,nan,painter,
69,1.2.2.9.2,LOGOTIPO  - GERENCIA SUB REGIONAL CHOTA,1.0,0.5,1.5,2022-06-26 00:00:00,nan,"team subcontractor[2,00 #8]",
