node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Youth Hostel Merkenveld,274.333333333333,271.59,277.08,2012-09-17 08:00:00,2013-06-18 16:00:00,,0
1,1.1,"Plaatsbeschrijving van wegenis, voetpaden en bestaande gebouwen",0.375,0.33,0.47,2012-09-17 08:00:00,2012-09-17 17:00:00,Arbeider,0
2,1.2,Plaatsen hekkens + zeilen,0.166666666666667,0.13,0.2,2012-09-18 08:00:00,2012-09-18 12:00:00,Arbeider[2.00 #4],0
3,1.3,Plaatsen werfborden,0.0833333333333333,0.08,0.08,2012-09-18 08:00:00,2012-09-18 10:00:00,Arbeider,0
4,1.4,Steiger als vluchtweg voor bestaande lokalen plaatsen,1.95833333333333,1.82,2.45,2012-09-18 13:00:00,2012-09-20 12:00:00,Arbeider[3.00 #4],0
5,1.5,Stofvrije afscherming bestaande lokalen plaatsen,0.958333333333333,0.83,1.2,2012-09-20 13:00:00,2012-09-21 12:00:00,Arbeider[2.00 #4],0
6,1.6,Verwijderen binnendeuren,0.0833333333333333,0.04,0.12,2012-09-21 13:00:00,2012-09-21 15:00:00,Arbeider,0
7,1.7,Afbraak dak vezelcementplaten,4.79166666666667,4.31,5.75,2012-11-15 15:00:00,2012-11-20 10:00:00,Arbeider[4.00 #4],0
8,1.8,Onder vezelcementplaten,4.79166666666667,4.31,5.75,2012-11-29 15:00:00,2012-12-04 10:00:00,Arbeider[4.00 #4],0
9,1.9,Afbraak dak dakpannen/onderdak,1.20833333333333,1.0,1.51,2012-11-20 10:00:00,2012-11-21 15:00:00,Arbeider[3.00 #4],0
10,1.1,Afbraak dak platte daken,8.0,7.12,9.76,2012-11-21 15:00:00,2012-11-29 15:00:00,Arbeider[4.00 #4],0
11,1.11,Afbraak eerste verdieping 1e fase/afbraak buitenschrijnwerk,2.95833333333333,2.57,3.7,2012-09-21 13:00:00,2012-09-24 12:00:00,Arbeider[2.00 #4],0
