node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,nan,Six-story-apartment,341.0,341.0,341.0,2022-01-03 08:00:00,nan,,
1,nan,plaatsbeschrijving,5.0,4.0,6.0,2022-01-03 08:00:00,nan,,
2,nan,asbestverwijdering,5.0,4.0,6.0,2022-01-10 08:00:00,nan,,
3,nan,slopen,5.0,4.0,6.0,2022-01-17 08:00:00,nan,,
4,nan,grondsondering,10.0,8.0,12.0,2022-01-17 08:00:00,nan,,
5,nan,paalfundering,10.0,8.0,12.0,2022-01-17 08:00:00,nan,,
6,nan,grondwerken,15.0,12.0,18.0,2022-01-31 08:00:00,nan,,
7,nan,liftput,15.0,12.0,18.0,2022-01-31 08:00:00,nan,,
8,nan,funderingsplaat/balken,15.0,12.0,18.0,2022-01-31 08:00:00,nan,,
9,nan,riolering,5.0,4.0,6.0,2022-02-07 08:00:00,nan,,
10,nan,Alles metselwerken ruwbouw prefab terassen,5.0,4.0,6.0,2022-02-21 08:00:00,nan,,
11,nan,arduin/dorpels,5.0,4.0,6.0,2022-05-09 08:00:00,nan,,
12,nan,Slijpen technieken: electriciteit/water,10.0,8.0,12.0,2022-05-23 08:00:00,nan,,
13,nan,plaatsen schrijnwerk,10.0,8.0,12.0,2022-05-30 08:00:00,nan,,
14,nan,Dakafdichting platte daken,10.0,8.0,12.0,2022-06-06 08:00:00,nan,,
15,nan,"plaatsen technieken ventilatie, elektr, sanitair",15.0,12.0,18.0,2022-06-13 08:00:00,nan,,
17,nan,plaatsen isolatie chappe,10.0,8.0,12.0,2022-07-04 08:00:00,nan,,
18,nan,plaatsen mortelchappe,20.0,16.0,24.0,2022-07-25 08:00:00,nan,,
19,nan,stuck werken buiten,20.0,16.0,24.0,2022-07-25 08:00:00,nan,,
20,nan,stuck werken binnen,20.0,16.0,24.0,2022-07-25 08:00:00,nan,,
21,nan,plaatsen lift,5.0,4.0,6.0,2022-08-15 08:00:00,nan,,
22,nan,plaatsen vloeren,20.0,16.0,24.0,2022-08-22 08:00:00,nan,,
23,nan,binnendeuren,10.0,8.0,12.0,2022-09-19 08:00:00,nan,,
24,nan,keukens,10.0,8.0,12.0,2022-10-03 08:00:00,nan,,
25,nan,"afwerking technieken: electr, water,sanitair",10.0,8.0,12.0,2022-10-10 08:00:00,nan,,
26,nan,tuinberging/ fietsberging,10.0,8.0,12.0,2022-10-17 08:00:00,nan,,
27,nan,ballustrades/ terrassen,10.0,8.0,12.0,2022-10-24 08:00:00,nan,,
28,nan,schilderwerken,15.0,12.0,18.0,2022-10-31 08:00:00,nan,,
29,nan,afwerking tuin,10.0,8.0,12.0,2022-11-07 08:00:00,nan,,
30,nan,opkuis,5.0,4.0,6.0,2022-11-21 08:00:00,nan,,
31,nan,oplevering,5.0,4.0,6.0,2022-12-05 08:00:00,nan,,
